#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_r          4129.387138269706     All      -0.7921489941641227        0.47432767362565187       -0.7527251205998953        0.3789424515529605         
Zeropoint     AB|DECam|DECam_g          3106.9648792253183    All      -0.2864104417657757        0.07249935427147136       0.15015704584828704        0.12360954766073692        
Zeropoint     AB|DECam|DECam_z          5878.822387596427     All      1.2455220639987956         0.1312990131712155        0.7927646511322939         -0.32756165916040914       
Zeropoint     AB|DECam|DECam_i          5016.689602637968     All      0.8197182895058721         0.3222003522243           -0.1778784748742268        -0.1699958593939222        
Check         All|All|All               All                   All      0.9866809175747697         1.0003263932926387        0.012318101506458845       0.004994480659366085       
Lambda        AB|DECam|DECam_r          4129.387138269706     All      -0.0002953497391294471     0.00024252705785508612    -0.0001012514426173388     0.00017068578154591458     
Lambda        AB|DECam|DECam_g          3106.9648792253183    All      -0.0008169249507626584     0.0001859282119970711     0.000116851014749106       0.0003318767921108655      
Lambda        AB|DECam|DECam_z          5878.822387596427     All      -0.00028947805049939364    -3.737661311157348e-05    -0.00034552427934974857    6.669857039638588e-05      
Lambda        AB|DECam|DECam_i          5016.689602637968     All      -0.00019490619859049443    -5.968052745849868e-05    -0.001236207290289471      -1.1118803790769323e-05    
MWEBV         All|All|All               All                   All      -0.36249204362794907       -2.19369511666212         0.061324446257771115       -0.593746457295393         
Redshift      All|All|All               All                   All      3.9096685911054045         0.2184151974592652        1.4660372763219964         -1.1369401585635264        
