#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|r           3386.237953790029    All      -1.5938883337747456       -0.03392809847753142      0.10343191907808968       0.5127460613064861         
Zeropoint     AB|MEGACAMPSF|z           4769.264091235764    All      1.321958534252984         0.31075192281786457       -0.23339368219260637      -0.33979854915163077       
Zeropoint     AB|MEGACAMPSF|i           4140.869844560618    All      1.266940158731748         0.7214078772133092        0.12824795298543856       -0.17197469444932695       
Check         All|All|All               All                  All      0.9950103592099864        0.9982317015536424        -0.0017138101290781194    0.0009728177055284282      
Lambda        AB|MEGACAMPSF|r           3386.237953790029    All      -0.0032366830799806213    -0.0001362450079442181    -0.001829438562524946     0.0009282752407069985      
Lambda        AB|MEGACAMPSF|z           4769.264091235764    All      -0.0003011698453850454    -7.670152809079944e-05    -0.0004762547369318515    5.186365418064569e-05      
Lambda        AB|MEGACAMPSF|i           4140.869844560618    All      0.0005108097312058971     0.000246713615069713      -0.0008282003004946886    -0.00012298356915438322    
MWEBV         All|All|All               All                  All      -0.4035784714502719       -1.7231237989376424       0.008708269790769219      -0.42943071482932743       
Redshift      All|All|All               All                  All      1.264729072247925         -0.5727065136357012       2.6946769732367315        -0.4782621630456658        
