#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_r          4616.6548205855315    All      0.016725070204623327      0.5385533148558608         0.14322327101001786        0.17636802370671334        
Zeropoint     AB|DECam|DECam_g          3473.5867349739055    All      -0.7590130029514683       0.24747347409892484        -0.1553727937693039        0.3209121838123774         
Zeropoint     AB|DECam|DECam_z          6572.523429332805     All      0.17401254838052432       0.01688783856970133        0.19374527646631723        -0.04253472538597314       
Zeropoint     AB|DECam|DECam_i          5608.658975749248     All      1.5601228099192903        0.19744852355429998        -0.17592907593968476       -0.45171875236766357       
Check         All|All|All               All                   All      0.9918474255529696        1.000363151078787          0.0056666777673464175      0.0030267297654540393      
Lambda        AB|DECam|DECam_r          4616.6548205855315    All      -0.0001909350602724857    -0.00012608010774792998    -0.0012940766611121187     -3.662330620449659e-05     
Lambda        AB|DECam|DECam_g          3473.5867349739055    All      -0.0017455205152905663    0.00047053522325188584     -0.0011115653598026169     0.0006722382033385973      
Lambda        AB|DECam|DECam_z          6572.523429332805     All      -4.734322583986722e-05    -2.9360416493444118e-06    -2.6981165821820794e-05    1.3260835333203049e-05     
Lambda        AB|DECam|DECam_i          5608.658975749248     All      -6.429117556716784e-05    -4.816075976497618e-05     -0.0006248038521315818     -2.2627919198643337e-05    
MWEBV         All|All|All               All                   All      -0.4721509714777752       -2.577570101080795         0.0630897330721858         -0.6829888717173063        
Redshift      All|All|All               All                   All      7.6211608979214445        -0.4052878369314783        1.2183516153579377         -2.5601089783546858        
