#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                6195.888020228996    All      1.271074828095967          -0.15783300585336946       -0.5252763685652528       -0.48888296301067624       
Zeropoint     AB|PS|PS_g                4878.912779288161    All      -1.134918097790851         1.3440063974186067         0.051351235669261364      0.8097588320834355         
Zeropoint     AB|PS|PS_z                8624.573221246792    All      0.3763403116391917         -0.10998212460928691       -0.06120742016215153      -0.16114262306537244       
Zeropoint     AB|PS|PS_i                7504.562277485265    All      0.4853733703566057         -0.07737409448491661       0.5296465534509909        -0.1596696700386764        
Check         All|All|All               All                  All      0.997870412300913          0.9988171724710337         -0.0054859996071521255    6.357596871037208e-05      
Lambda        AB|PS|PS_r                6195.888020228996    All      -0.00021028046108246455    3.916211188043263e-05      0.0003000673401621728     9.464227966290387e-05      
Lambda        AB|PS|PS_g                4878.912779288161    All      -0.0003025631832515101     -4.556086245577534e-05     -0.0020026411496834634    -5.6545657038761444e-06    
Lambda        AB|PS|PS_z                8624.573221246792    All      8.56155206705271e-05       -3.1390410836774556e-05    -8.330483909186014e-05    -4.183019363611938e-05     
Lambda        AB|PS|PS_i                7504.562277485265    All      -0.00011957329240670523    2.1860992726507685e-05     -9.119301375798541e-05    4.2000274348002904e-05     
MWEBV         All|All|All               All                  All      -0.7273796933986199        -4.152581342088135         0.07159549585177838       -1.1125058846116684        
Redshift      All|All|All               All                  All      3.3866623853518796         1.1845713261347868         -6.487459218142449        -1.0067990137142047        
