#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                6195.888020228996    All      1.292743228492513         -0.15299406692630413       -0.4543380876000689        -0.49119922261238663       
Zeropoint     AB|PS|PS_g                4878.912779288161    All      -1.1422485046809054       1.3321548439377828         -0.02374747706901786       0.8049348352639195         
Zeropoint     AB|PS|PS_z                8624.573221246792    All      0.3600737318650782        -0.10307415137313924       -0.048073755223529586      -0.15300781358431303       
Zeropoint     AB|PS|PS_i                7504.562277485265    All      0.48868901362828804       -0.07628194690418866       0.5305376736133941         -0.1603541691359745        
Check         All|All|All               All                  All      0.9992574693049743        0.9998046787341508         0.004378353720777772       0.00037362993124534505     
Lambda        AB|PS|PS_r                6195.888020228996    All      -0.0002595032898326747    4.4311858422678274e-05     0.0003053794700886199      0.0001125902722011381      
Lambda        AB|PS|PS_g                4878.912779288161    All      -0.0002535528625956614    -0.00011710820430705054    -0.002065909761408417      -4.7747550170795554e-05    
Lambda        AB|PS|PS_z                8624.573221246792    All      7.876762939896948e-05     -2.7424464447519354e-05    -6.202334486990934e-05     -3.7358075600542804e-05    
Lambda        AB|PS|PS_i                7504.562277485265    All      -0.0001294216610902662    2.173890938405883e-05      -0.00012205867648014881    4.379105270245754e-05      
MWEBV         All|All|All               All                  All      -0.7270512517074437       -4.151234784550795         0.07942631688455616        -1.1118247972085233        
Redshift      All|All|All               All                  All      3.5039968260118517        1.4630422046666425         -5.888213721530046         -0.927570000389194         
