#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6098.196499036858    All      0.835513656748489         -0.11386456044846227      -0.9425433422535989        -0.3513050993764477        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4323.138529014458    All      -0.9442910807784315       0.7273623051502476        0.3112093726275633         0.5584003485272493         
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5408.473744255624    All      0.5501793132200293        0.4864145059292113        0.03348207797130298        -0.019276144172231113      
Zeropoint     AB|CNIa02|SDSS_i                      7395.129111279062    All      0.48904257425277753       -0.08400610935836994      0.5081500560531194         -0.16398440584100005       
Check         All|All|All                           All                  All      0.9304444634428645        1.0159061412726267        -0.08970183560161327       0.023834699137570414       
Lambda        AB|CNIa02|SDSS_r                      6098.196499036858    All      -6.856582174819266e-05    -3.679642651758257e-05    -0.0007787942082884429     -2.4405671434822998e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4323.138529014458    All      -0.0003490781345518939    0.0001732728141737113     -0.00034954542128171637    0.00015454828208795118     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5408.473744255624    All      -9.93137840830688e-05     8.110635235845161e-05     -0.0011652516387904378     6.768945253169518e-06      
Lambda        AB|CNIa02|SDSS_i                      7395.129111279062    All      -0.0001744695438400804    4.47699684625388e-06      -0.0006919983748472355     2.7408066232007494e-05     
MWEBV         All|All|All                           All                  All      -0.870576900156669        -4.037058178962649        0.10786017572238515        -1.0266138223882781        
Redshift      All|All|All                           All                  All      5.169617637838764         -1.3885693541385358       4.951890499428457          -1.9152371314513361        
