#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|CNIa02|SDSS_r                      6098.196499036858    All      0.951055842640723          -0.10890281227453613       -0.5088160615947779       -0.3679695294311869        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4323.138529014458    All      -1.1270192277956372        0.7712227585460418         -0.026474750689062496     0.617138418728755          
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5408.473744255624    All      0.6226979245509326         0.4323294869528205         0.08966023272706462       -0.05800813866921966       
Zeropoint     AB|CNIa02|SDSS_i                      7395.129111279062    All      0.5511996881436073         -0.09636007321329743       0.4484117174349434        -0.19092096288870275       
Check         All|All|All                           All                  All      0.9979342275396255         0.9982893600110287         0.0027811378781676943     0.00023978773964566935     
Lambda        AB|CNIa02|SDSS_r                      6098.196499036858    All      -0.0001393070652951039     -1.7159574896644053e-05    -0.0005269430591116071    1.6272407589631818e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4323.138529014458    All      -0.0002872564831112268     5.374928736871573e-05      -0.0006242761262658603    8.321822188323118e-05      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5408.473744255624    All      -1.8664400816717757e-05    -1.6786962385600893e-05    -0.0009892126954292371    -4.3532475844523983e-05    
Lambda        AB|CNIa02|SDSS_i                      7395.129111279062    All      -0.00014827902283365765    5.866917091140925e-06      -0.0004865235649320242    2.8499091703293565e-05     
MWEBV         All|All|All                           All                  All      -0.8756625184583551        -4.036358437396448         0.07434214346945964       -1.026225096183315         
Redshift      All|All|All                           All                  All      5.1172352648478            -0.5525215954924612        4.3193286487305675        -1.6540745392391445        
