#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                   dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           4468.571456160659     All      1.9149433077801619       0.6727206764521654         0.6076036479925035        -0.3775182187469132        
Zeropoint     AB|MEGACAMPSF|z           5149.179986368199     All      1.0969038587983142       0.15739590015666494        -0.2113689558089672       -0.3154610767385921        
Zeropoint     AB|MEGACAMPSF|r           3656.0688747933027    All      -2.01029673081018        0.16916438440190973        -0.3942578909981528       0.6923282684512517         
Check         All|All|All               All                   All      1.001550435768296        0.99928096101074           0.00197680118538357       -0.0006510270342535707     
Lambda        AB|MEGACAMPSF|i           4468.571456160659     All      -0.000612400262701699    -0.00029038796078894436    -0.0030913757119705155    -3.306389922710297e-05     
Lambda        AB|MEGACAMPSF|z           5149.179986368199     All      0.0003468829142500974    3.249330173090396e-05      -0.0002755917880695533    -0.00011470543566277599    
Lambda        AB|MEGACAMPSF|r           3656.0688747933027    All      -0.003282196063554655    0.00020423398891910194     -0.0016204884981537188    0.001063330009194364       
MWEBV         All|All|All               All                   All      -0.20606826531099087     -1.9291111580869824        -0.025914743667489085     -0.562408212592325         
Redshift      All|All|All               All                   All      8.85422913648004         1.1483441618187484         5.798273402194126         -2.25130994089925          
