#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6411.826141135057    All      2.944344540640077          -1.0712936032316378       0.3846521885085207        -1.2908601935003412       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5354.338911909598    All      -1.9477200271054649        2.0757314808477645        -0.3853219248458745       1.2933753759769853        
Check         All|All|All                            All                  All      0.9966245135346119         1.0044378776161267        -0.0006697363373538434    0.0025151824766440622     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6411.826141135057    All      -0.0009213023565857655     0.00029356740802502376    -0.0004756487942877262    0.000374497029248655      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5354.338911909598    All      -0.00011086786824913504    -5.484680388272454e-05    -0.0012921332013776155    -3.941406652192927e-05    
MWEBV         All|All|All                            All                  All      -0.5539284493674597        -3.0866255184815117       -0.0027114182180080913    -0.8251037568110486       
Redshift      All|All|All                            All                  All      5.258309132563962          0.7424587194199361        0.7902773265719636        -1.4356945991542889       
