#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6411.826141135057    All      2.957981194683689          -1.127061875442159       0.13994886938651918       -1.324387646586285       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5354.338911909598    All      -1.9611836273326548        2.1321080020413774       -0.13629183908359654      1.3272376701692443       
Check         All|All|All                            All                  All      0.9967975673510334         1.0050461265992183       0.003657030302922637      0.0028500235829593823    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6411.826141135057    All      -0.0009254131691343154     0.0002571101318353218    -0.000898451537489235     0.0003450929773073655    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5354.338911909598    All      -0.00022861084381818467    8.327074661431171e-05    -0.0012819678290914014    4.438175825634344e-05    
MWEBV         All|All|All                            All                  All      -0.5536836202968138        -3.0869943475403616      -0.005448139060526547     -0.8254257727344755      
Redshift      All|All|All                            All                  All      5.3936916544529225         0.06349354932986273      0.21517390091221889       -1.7266186582078458      
