#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5327.458269397805    All      0.22894489837612986        0.35761743661542056       -0.061884955320906807      0.039151237576653564       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4372.210162580692    All      -0.4443645796225212        0.29627840308315          -0.005227888857969693      0.24101848922870664        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8134.750326841196    All      0.1518492836705487         -0.04541063264991152      0.0678888083074847         -0.061224478691314276      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4405.014963085949    All      -0.6883047371333144        0.4450322408601437        -0.02669508406901613       0.3679738604156361         
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7802.962054081359    All      0.2436197070160655         -0.06619686179627493      0.15939188686641903        -0.09380452127415016       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6297.674701307192    All      0.7721752642442066         -0.10011586170186604      0.15909432945000268        -0.2770342680167499        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6298.89464666721     All      0.5856391919534936         -0.12155755164284798      -0.16063110146187382       -0.2375254737774001        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5324.361911469516    All      0.14749699615019835        0.23083622213775357       -0.13027049217442108       0.02133295392822786        
Check         All|All|All                       All                  All      0.9970560246548068         0.9964833949055674        0.0016655027397188549      -0.00011220061039022775    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5327.458269397805    All      -6.393232981100901e-07     8.944520520516831e-05     -0.0009025845556597223     -1.0934708671694971e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4372.210162580692    All      -0.00025461452375946864    0.00010144611869845722    -0.0003796164148669655     9.904012821535882e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8134.750326841196    All      -3.880285954047961e-06     1.0621708044520612e-06    -1.1179676357809395e-05    1.1110231587883177e-06     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4405.014963085949    All      -0.00037398095016934023    0.00012520790015363545    -0.00046213361073223805    0.00014197933083148504     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7802.962054081359    All      -1.1601945805991903e-05    4.876984539153717e-06     4.632510213633687e-05      7.435006298965398e-06      
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6297.674701307192    All      -0.0002135863692118841     2.3020331730630053e-05    -0.0003703080395706417     6.0545439583497157e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6298.89464666721     All      -0.00015560285307974263    1.861537230668604e-05     -0.0003355363978905408     4.177515924280931e-05      
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5324.361911469516    All      -1.7929895387356107e-05    5.866430976135875e-05     -0.0008203959073986194     -1.1661248913646907e-05    
MWEBV         All|All|All                       All                  All      -0.8295319010652129        -4.071582287570585        0.047755856944962045       -1.0539113466136523        
Redshift      All|All|All                       All                  All      5.315703095494583          -1.0634113002356393       4.982369272191576          -1.8555471678957578        
