#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_V    5327.458269397805    All      0.25926584005843456        0.35013500676654985       -0.23386133950533683       0.019162919607779855      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4372.210162580692    All      -0.4276349323307678        0.297932421591085         0.03456244898050187        0.2378835209876813        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    8134.750326841196    All      0.13973297021638398        -0.03808453019535918      0.050489860017299826       -0.05566787934507267      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_B    4405.014963085949    All      -0.7185283853252065        0.45017679484544715       -0.16427878523019857       0.3733547187602985        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_I    7802.962054081359    All      0.242897658464029          -0.05944726323363625      0.19083928437768627        -0.08996740708075643      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K4_R    6297.674701307192    All      0.754144898606102          -0.09808433570430708      0.04726207571046359        -0.27549000975181615      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6298.89464666721     All      0.5541764892716153         -0.10525798433267397      0.035280814072446987       -0.21322508210956484      
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5324.361911469516    All      0.1934307387346036         0.19994173490873735       0.04299487412686709        0.004039509423294646      
Check         All|All|All                       All                  All      0.9974852776951941         0.9973118446458429        0.0032892325497302366      9.029049184422488e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K4_V    5327.458269397805    All      -4.5905526566103046e-05    9.60720892899036e-05      -0.0012007170470047718     -7.335706704771048e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4372.210162580692    All      -0.00021925738183976715    7.202807329311856e-05     -0.00036936668832759613    7.839811688338927e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    8134.750326841196    All      -2.2581865941121024e-06    1.8759590000321132e-06    -2.1766704901932956e-06    1.2494924224715747e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_B    4405.014963085949    All      -0.00032465675600566214    9.276366390961575e-05     -0.000497407386375689      0.00011377055634586597    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_I    7802.962054081359    All      4.920805873779931e-06      3.971920773729758e-06     8.676149449944812e-05      3.5626839239003977e-06    
Lambda        Linear_AB11_off|LOSS|LOSS_K4_R    6297.674701307192    All      -0.00024138750321650728    6.946558730496138e-06     -0.0004524798410709189     6.069847678185262e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6298.89464666721     All      -0.0001931347936453601     2.4458340303556366e-05    -0.0004617158754368343     5.027298339220526e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5324.361911469516    All      -4.6981130155797154e-05    5.562682597424428e-05     -0.0007436193271488609     2.3847176242589127e-07    
MWEBV         All|All|All                       All                  All      -0.8377910544202596        -4.065726908304068        0.0517197339435338         -1.0491368893594608       
Redshift      All|All|All                       All                  All      4.850224946847762          -0.7083661369123639       6.329314172904565          -1.5281677661472965       
