#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7138.888841062501    All      0.6599465047985387         -0.07472870705358403      0.6832805361946193         -0.2088162144604104        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5044.044260796088    All      0.0691312568632459         0.5337663659852332        -0.1179354448110348        0.1460840238380702         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5838.850537961382    All      1.2447169959490008         -0.04329901945778758      -0.7629730527280998        -0.45359717382102216       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4129.113391336347    All      -0.9755651407815544        0.5826055381738193        0.19962879205056572        0.5164559685557985         
Check         All|All|All                              All                  All      0.9982296168292312         0.9983441776476809        0.002000830706050394       0.0001266041124360351      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7138.888841062501    All      -0.0004090368275177509     4.634540713966322e-05     -0.00044716952948655505    0.00012837785313281956     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5044.044260796088    All      2.4134550061907904e-05     2.8163926353777216e-05    -0.0005792594145037415     -2.4537186806235596e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5838.850537961382    All      -0.00017234606888417954    3.3614429148271736e-05    0.00020959912318917667     7.644155632226986e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4129.113391336347    All      -0.0006045778287159516     0.00024971026739848675    -0.0008028654521999689     0.00024244154044398783     
MWEBV         All|All|All                              All                  All      -0.7698765341103275        -3.7829797843602186       0.09470259784276625        -0.9772407147704991        
Redshift      All|All|All                              All                  All      6.343750917167268          0.47525548487294955       2.739275057614987          -1.7893207652772203        
