#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7138.888841062501    All      0.6792374737660518         -0.08677848695475276      0.5317778877257003        -0.22578579482162336       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5044.044260796088    All      0.06348023248259294        0.5592540882583208        0.0580132020842377        0.16407871806555976        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            5838.850537961382    All      1.2156939772598245         -0.0352997247913045       -0.6666393108640447       -0.43723885590863304       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4129.113391336347    All      -0.9612048499587815        0.5614303882075511        0.08359156577808777       0.499702697940694          
Check         All|All|All                              All                  All      0.9972068335496883         0.9986062647198146        0.006743344723981054      0.0007567652759973287      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7138.888841062501    All      -0.0003975289998714015     5.47900436907008e-05      -0.0003008853426763053    0.00013390806241545555     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5044.044260796088    All      -2.0175267003092422e-05    1.6103576823786688e-05    -0.0006171240774361766    -1.5722200254683095e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            5838.850537961382    All      -0.00015612150018222683    1.3474974010017577e-05    0.00010750925651240111    6.004079554867862e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4129.113391336347    All      -0.0005965202932671644     0.00023520026184889806    -0.0009983094581365573    0.00022636878154767232     
MWEBV         All|All|All                              All                  All      -0.7744120701503223        -3.7833379923656985       0.07925367416511446       -0.9765694361090409        
Redshift      All|All|All                              All                  All      6.060353839160166          0.6921384254660268        2.754887575785841         -1.6256663895151398        
