#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5864.935087920597     All      3.320673888068466         -0.553957750566525        0.7370648257226174        -1.229203178342343        
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4897.6452988349565    All      -2.322555037365385        1.5573047017822361        -0.729585178665874        1.2312399249740706        
Check         All|All|All                            All                   All      0.9981188507030809        1.0033469512157112        0.0074796470567434215     0.002036746631727704      
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5864.935087920597     All      -0.0005373111748078593    0.00012266031428847146    0.00019245176309409047    0.0002235626647036551     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4897.6452988349565    All      -0.0008090893365761998    3.4832154392694506e-05    -0.0033249694361795696    0.00012651487889651244    
MWEBV         All|All|All                            All                   All      -0.3921157100272361       -2.7475453609625333       -0.025742768407343266     -0.7683897101651803       
Redshift      All|All|All                            All                   All      3.279645282395776         1.4463636914795686        14.52981340046774         0.05123871170940495       
