#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5864.935087920597     All      3.357510328304787         -0.5478228869634449      0.8914073503255793        -1.2323160939002045       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4897.6452988349565    All      -2.35919286818579         1.5510519922484534       -0.8862207522259302       1.2341474323711046        
Check         All|All|All                            All                   All      0.9983174601189969        1.0032291052850084       0.0051865980996490535     0.0018313384709001124     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5864.935087920597     All      -0.0004422823643005585    9.423075568422158e-05    0.00045348022562739814    0.00019499671364681876    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4897.6452988349565    All      -0.0010859034472976445    5.503178251809716e-05    -0.004773314456296657     0.0001586290388609445     
MWEBV         All|All|All                            All                   All      -0.3947147994728235       -2.747462753475105       -0.03936043272225742      -0.7681238870635931       
Redshift      All|All|All                            All                   All      4.3569619377729065        1.4048569612334916       16.25893525037625         -0.23603610659213947      
