#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7422.768227218952     All      0.4278495389386935         -0.06638528244460318      0.11753649333137955       -0.1557434272954064       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4339.296154558196     All      -0.7792147784844129        0.44686125241124586       -0.17122061199462854      0.3917325104405195        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5428.687783878994     All      0.8146835341693854         0.16851796388532847       0.012330485891004831      -0.20992713150390532      
Zeropoint     AB|CNIa02|SDSS_g                      4684.3065822978315    All      -0.5819245249616629        0.5536848735524735        0.021444283658873315      0.3708623014252124        
Zeropoint     AB|CNIa02|SDSS_r                      6120.988360750813     All      1.1177142932350403         -0.10549457103845583      0.02103550954040472       -0.3975006512920068       
Check         All|All|All                           All                   All      0.9991080628970432         0.9971842363659889        0.0011261604270338746     -0.0005763982255865829    
Lambda        AB|CNIa02|SDSS_i                      7422.768227218952     All      -6.844290324786168e-05     -2.115740457583873e-05    -0.0002938109033382443    2.291011372861069e-06     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4339.296154558196     All      -0.0003657234559294592     7.164878101444896e-05     -0.000842725239961663     0.00010485956972936818    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5428.687783878994     All      0.00011220067902921568     -6.378633692934254e-05    -0.0008526674495099145    -9.537539301023341e-05    
Lambda        AB|CNIa02|SDSS_g                      4684.3065822978315    All      -0.00012235069953716026    -2.829156103976898e-05    -0.0006084457605531802    3.48601605915491e-06      
Lambda        AB|CNIa02|SDSS_r                      6120.988360750813     All      -9.625434728949953e-05     -2.063678269233748e-05    -0.0002809229686722036    1.209482667396422e-05     
MWEBV         All|All|All                           All                   All      -0.8911656194075124        -4.062382747362392        0.01794239825024689       -1.0321690616920507       
Redshift      All|All|All                           All                   All      4.362835685325534          0.3555262520580804        3.2231388609180134        -1.1614786349582038       
