#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7422.768227218952     All      0.4282533633031709         -0.07131201585970359      0.09942924029884281       -0.1582878088735938       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4339.296154558196     All      -0.7335415622698258        0.45709436128111847       -0.04002980683193158      0.3860429446302833        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5428.687783878994     All      0.8511555322388051         0.1897159585368513        -0.053131284584306826     -0.21782363507817717      
Zeropoint     AB|CNIa02|SDSS_g                      4684.3065822978315    All      -0.5645263905277913        0.5177085977152274        -0.09663851477537122      0.34820700707452534       
Zeropoint     AB|CNIa02|SDSS_r                      6120.988360750813     All      1.0167955569337064         -0.0960952424263084       0.08990227752159186       -0.3584932206317774       
Check         All|All|All                           All                   All      0.9981364996780652         0.9971116592471851        -0.0004680883711749573    -0.0003547128787397269    
Lambda        AB|CNIa02|SDSS_i                      7422.768227218952     All      -3.875805758426723e-05     -1.373222251949793e-05    -0.0001779252194550048    2.117524428122624e-07     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4339.296154558196     All      -0.00035006660313974584    7.729483949462785e-05     -0.0008896253881147283    9.950578646992051e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5428.687783878994     All      0.00010661978241251443     -7.920088766076089e-06    -0.0005971799782651078    -6.395880397423789e-05    
Lambda        AB|CNIa02|SDSS_g                      4684.3065822978315    All      -0.00012101556931129123    2.5128146446319166e-05    -0.0004154192500330991    2.9065563030317854e-05    
Lambda        AB|CNIa02|SDSS_r                      6120.988360750813     All      0.00012240782029414006     -1.995678902520821e-05    1.7720388819580038e-05    -4.558205734562404e-05    
MWEBV         All|All|All                           All                   All      -0.8863554018405528        -4.064163007268462        0.01644240945868347       -1.0343827346358532       
Redshift      All|All|All                           All                   All      3.8303680672934637         -0.07578272073214265      3.918660321858969         -1.0974900077950904       
