#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6062.487941086242    All      1.2557597761801864        -0.05460196599758049      -0.0736059353055618       -0.43011262388098664       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4240.27744099765     All      -0.9928099150178644       0.6243895673783584        0.21509835099957803       0.5363739271932134         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7381.020591622126    All      0.5795012451780985        -0.17954613595785318      0.5094855303577858        -0.22451070471561405       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5249.363240397027    All      0.15445046926732042       0.6066449155124332        -0.6520027517296204       0.11819871962806341        
Check         All|All|All                                All                  All      0.996901575607741         0.9968863809353579        -0.0010248056778184855    -5.0681775323857536e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6062.487941086242    All      -0.0003128408271804027    5.258067966441804e-05     -0.0008239065414299583    8.226264191169918e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4240.27744099765     All      -0.0005251289108658191    0.00022822435387203076    -0.0002318275198538755    0.0002350465454455599      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7381.020591622126    All      -0.0002697996431981285    9.346076840163368e-05     -0.0008210284467534548    8.168713823926345e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5249.363240397027    All      -9.815745217153256e-05    0.00014821811294131297    -0.0018450369022580222    -2.0828959271998538e-06    
MWEBV         All|All|All                                All                  All      -0.8290605463799863       -3.9402065269527498       0.05204441786363038       -1.0110800961972137        
Redshift      All|All|All                                All                  All      9.580027696988445         -1.8157956766341243       16.010685278492502        -2.9975112346804873        
