#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6062.487941086242    All      1.2577764954203934         -0.06395926811570973      -0.015364085124336402      -0.4312184505531391        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4240.27744099765     All      -1.0331474946652954        0.6401550587408877        -0.004284120292641358      0.5448585110508442         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7381.020591622126    All      0.515827449042761          -0.12691285880510605      0.3702309389850944         -0.19283995739638737       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5249.363240397027    All      0.25703375390773886        0.5486943371693975        -0.351463699376553         0.0793192366277104         
Check         All|All|All                                All                  All      0.9974902037055976         0.9979772689894695        -0.0008809658084363292     0.00011933972902805623     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6062.487941086242    All      -0.00043162911391054956    4.822837333058078e-05     -0.0008669618992159074     0.00011761684268682443     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4240.27744099765     All      -0.0003792350819449479     0.00013798802330944687    -0.00039962703790779686    0.0001506430622348621      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7381.020591622126    All      -0.0002634239879713992     7.757394756111427e-05     -0.000680120871613034      8.072357528388527e-05      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5249.363240397027    All      -0.000101215714608503      5.183302932195384e-05     -0.0018132617897556758     -3.1064534614355294e-05    
MWEBV         All|All|All                                All                  All      -0.8413807896535603        -3.9279098354202624       0.03245869970784909        -1.0039355713051228        
Redshift      All|All|All                                All                  All      9.449180367665363          -0.8295839671538019       15.143966882318049         -2.6723260169190852        
