#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3873.772241017427    All      -1.082330220035259         0.5111351759634175         -0.7070341110989281       0.48749241784303693       
Zeropoint     AB|SDSS|SDSS_r            5061.862280550382    All      0.7860850904071173         0.4873043358143647         1.5011530308256624        -0.030333156146461503     
Zeropoint     AB|SDSS|SDSS_i            6138.392738590122    All      1.2116503834068513         -0.0013718703849363578     -0.829753260413152        -0.4321493324001269       
Zeropoint     AB|SDSS|SDSS_z            7298.037278035524    All      0.08192532910762243        0.0012950031527125816      0.03242633396130699       -0.024816911466518175     
Check         All|All|All               All                  All      0.997330582886332          0.9983626445455585         -0.0032080067251107       0.0001930178299303989     
Lambda        AB|SDSS|SDSS_g            3873.772241017427    All      -0.0013922427056719203     0.0005159487688665052      -0.0017808831779036565    0.0005420881039627442     
Lambda        AB|SDSS|SDSS_r            5061.862280550382    All      2.1701263850748597e-05     -2.0977761563842336e-05    -0.000714750463814912     -4.579799314567879e-05    
Lambda        AB|SDSS|SDSS_i            6138.392738590122    All      -0.0002745575466638211     -1.0968818743500161e-05    -4.151693403147823e-05    8.400681040977475e-05     
Lambda        AB|SDSS|SDSS_z            7298.037278035524    All      -2.6305885870435543e-05    -3.2059710562449674e-08    -8.107293875327384e-06    8.196458273274672e-06     
MWEBV         All|All|All               All                  All      -0.5548460348180555        -3.150299089818809         0.08656610988397855       -0.8415613999826217       
Redshift      All|All|All               All                  All      6.339562745521969          0.7861834461271755         0.6882525650274836        -1.778204787617599        
