#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_g            3873.772241017427    All      -1.021800923335995         0.5260587820307805        -0.3286309103237739       0.48952354092912653       
Zeropoint     AB|SDSS|SDSS_r            5061.862280550382    All      0.9103957115787932         0.4616463994322473        1.2952356589818081        -0.08837199572183652      
Zeropoint     AB|SDSS|SDSS_i            6138.392738590122    All      1.0690699651328546         0.006386095071242437      -1.0299024952252211       -0.3921109159307712       
Zeropoint     AB|SDSS|SDSS_z            7298.037278035524    All      0.040916322686172873       0.004711748419161665      0.06693318866146658       -0.008806100136934947     
Check         All|All|All               All                  All      0.9985810760618257         0.9988030249534319        0.003635442094279684      0.00023452913958388333    
Lambda        AB|SDSS|SDSS_g            3873.772241017427    All      -0.0012527830240563116     0.0004057911190570817     -0.00209493410487068      0.000446764876464531      
Lambda        AB|SDSS|SDSS_r            5061.862280550382    All      -0.00011894446112860063    -6.986932084615263e-05    -0.0010354827919867215    -3.022345349176966e-05    
Lambda        AB|SDSS|SDSS_i            6138.392738590122    All      -0.00031084237447764326    -1.232690661192128e-05    0.00010807227854529835    0.0001020590781845042     
Lambda        AB|SDSS|SDSS_z            7298.037278035524    All      -1.4481459742104133e-05    1.0497775914679983e-05    0.00014356692419633304    1.454329129370741e-05     
MWEBV         All|All|All               All                  All      -0.5592916457664239        -3.1435390706752386       0.11328907516764408       -0.8367188344009276       
Redshift      All|All|All               All                  All      6.753043182685258          1.3063070692380663        2.766473861148727         -1.650726121977139        
