#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5396.516252188037    All      0.025254771612748805       0.6069151487531066         -0.18713327346658198       0.1811150223698489        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4313.580583998514    All      -0.8904981909649542        0.690028872331272          0.052984554861681854       0.5171941196456927        
Zeropoint     AB|CNIa02|SDSS_r                      6084.714112006456    All      1.173864109440303          -0.11615536162539186       -0.17089153026838444       -0.4278278862255582       
Zeropoint     AB|CNIa02|SDSS_i                      7378.77936052344     All      0.6869436742898561         -0.18159470873797545       0.30566761308481566        -0.2692709837248247       
Check         All|All|All                           All                  All      0.9955643643779537         0.9991939507210112         0.0006273642115310896      0.001210272065158724      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5396.516252188037    All      -0.00012228448401248215    7.299185675127711e-05      -0.000994558386719131      1.922535562971931e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4313.580583998514    All      -0.0002347332542070726     0.00014979783030032927     -0.00012068416666391987    0.00011986884484509603    
Lambda        AB|CNIa02|SDSS_r                      6084.714112006456    All      -0.00016221003622786894    -4.3520615213914924e-05    -0.0006311318305509725     1.0496534276374845e-05    
Lambda        AB|CNIa02|SDSS_i                      7378.77936052344     All      -0.0001715019111851356     -3.8706308988141915e-05    -0.0006805710393392798     1.2885136745118026e-05    
MWEBV         All|All|All                           All                  All      -0.853121849146798         -4.042489456093623         0.03219887749046035        -1.0374450686418997       
Redshift      All|All|All                           All                  All      5.7634941522697725         -0.7084623535493328        4.382406096307228          -1.9125624985749237       
