#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5396.516252188037    All      0.02781374340306353        0.5960573685931614         -0.2440666913673617        0.17420406790643952       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4313.580583998514    All      -0.8147082139356625        0.6546541321337251         0.08057477043488248        0.4822153386380999        
Zeropoint     AB|CNIa02|SDSS_r                      6084.714112006456    All      1.1055350897507796         -0.08304333425437349       -0.1559959518933951        -0.3941204786366607       
Zeropoint     AB|CNIa02|SDSS_i                      7378.77936052344     All      0.6756891756608292         -0.16837543522187914       0.3191867061420828         -0.260695775941773        
Check         All|All|All                           All                  All      0.9943297948790099         0.9992927312506339         -0.00030116668379154277    0.0016031519661057203     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5396.516252188037    All      -0.00011960324858378246    6.585832513765225e-05      -0.0008650951718416868     2.180571178473082e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4313.580583998514    All      -0.00017488227069637123    0.00011119264725589862     -0.00014770464191456525    8.659263257653891e-05     
Lambda        AB|CNIa02|SDSS_r                      6084.714112006456    All      -6.035233319203943e-05     6.28403807425296e-06       -0.00013694440297364524    1.5594458651108466e-05    
Lambda        AB|CNIa02|SDSS_i                      7378.77936052344     All      -0.0001485107750299966     -2.1935785565355468e-05    -0.000491171239994507      1.931092168905331e-05     
MWEBV         All|All|All                           All                  All      -0.8415152577661469        -4.044050849564496         0.03475986247429841        -1.0416200295242248       
Redshift      All|All|All                           All                  All      5.509158329399925          -0.7780880781012023        3.137666372685355          -1.9079433597534965       
