#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5314.4697513737065    All      0.26613953164828824        0.10369201900211067        0.12723722401731336        -0.04723648630482268      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B              4300.365331311201     All      -0.32555073948431823       0.21159155841363742        -0.02917283987726399       0.17366306802435522       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5253.242285435656     All      0.23828919312347946        0.2116535262526753         -0.2634928191946561        -0.020434587329143983     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7460.935149599264     All      0.2024136641590704         -0.033984980253620733      0.16921613198199387        -0.06945147698083322      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r              6081.01256818005      All      0.5565714461446821         -0.018066588918053128      -0.37040375009294496       -0.20370793121350775      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u              3514.3623363756783    All      -0.18317916010983964       0.07560762290754752        -0.01609744015494204       0.08357701423979157       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i              7434.96900341937      All      0.20630024403438948        -0.043663075863342726      0.00011139878417738189     -0.08141630562355047      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4297.319669408325     All      -0.31314138692294285       0.1418116625921506         -0.13039164330618333       0.14237439556421705       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g              4697.746274084482     All      -0.2695785548868257        0.3937237041576225         0.1295011843535349         0.22183841084719297       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6123.9392832446165    All      0.6161044884132669         -0.045275672889211194      0.38184865897297515        -0.19839312541471682      
Check         All|All|All                                All                   All      0.9943687261192504         0.9970897754015162         -0.0016438945159957807     0.000812975808981875      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_V_1     5314.4697513737065    All      6.467024647745478e-05      3.377111010648321e-05      -0.0002587027587741398     -2.160958121271294e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B              4300.365331311201     All      -0.00017610454462136575    6.874732237509037e-05      -0.00023817783327231883    6.912752568017864e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844      5253.242285435656     All      -3.690959982261846e-05     6.080565259768396e-05      -0.0012735153480532002     -2.500206848957199e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_i'_1    7460.935149599264     All      -7.154450203058391e-05     1.2660609132995606e-05     -0.0001564138874369895     2.04483415585381e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_r              6081.01256818005      All      -0.00011180351849257453    -1.1466408636356528e-05    -0.0004552182515826306     1.236879784670932e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u              3514.3623363756783    All      -0.00032456842238078124    0.00011017667649802116     -1.6385945892715624e-05    0.0001408795518864822     
Lambda        Linear_AB11_off|SWOPE|SWOPE_i              7434.96900341937      All      -4.710093260915109e-05     -9.27040912277597e-06      -0.0003274470252519263     -2.289810740436088e-06    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_B_1     4297.319669408325     All      -0.00018043087885105118    5.586316309243084e-05      -0.00018260944955663305    6.881972226521932e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g              4697.746274084482     All      -0.00013426631289568895    -3.4224731808066026e-05    -0.000634480296111275      4.272892677647638e-06     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA3_KC_r'_1    6123.9392832446165    All      -0.0001435052396538113     2.3071865450663374e-05     -0.0002212115531623751     4.438798772678478e-05     
MWEBV         All|All|All                                All                   All      -0.9729544848637239        -3.9454715035684984        -2.5944005234672322e-05    -0.9682477436591178       
Redshift      All|All|All                                All                   All      7.608773845046559          -0.3667898117292623        12.067287669759843         -2.0593958456087047       
