#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          4491.533529409134    All      0.14332916870033174       0.44213131847126164        0.1851130970864423        0.10559043780839494       
Zeropoint     AB|DECam|DECam_g          3379.445051399213    All      -0.59161834200176         0.20929922645205323        -0.11324626087332312      0.2558315409492404        
Zeropoint     AB|DECam|DECam_i          5456.652234919352    All      0.900114627325246         0.2649406775168117         -0.27076053745351825      -0.21897985128324637      
Zeropoint     AB|DECam|DECam_z          6394.393885382854    All      0.543346264587075         0.08181717461823723        0.20179882942397143       -0.14132985353021293      
Check         All|All|All               All                  All      0.9951717186108928        0.9981883970583638         0.0029051281835723586     0.001112273944176012      
Lambda        AB|DECam|DECam_r          4491.533529409134    All      -0.0001705519084441348    -0.00021805650932639383    -0.0014159002327707464    -7.865893575630337e-05    
Lambda        AB|DECam|DECam_g          3379.445051399213    All      -0.0008996418964012695    0.000164537712390892       -0.0016042785579299303    0.0002750467251973163     
Lambda        AB|DECam|DECam_i          5456.652234919352    All      0.0001070657401739585     9.60632817520751e-06       -0.0007684016911972942    -6.603597514422812e-05    
Lambda        AB|DECam|DECam_z          6394.393885382854    All      2.4775996904494114e-05    2.3019997027717043e-06     0.00018286750559789064    8.400166336119257e-07     
MWEBV         All|All|All               All                  All      -0.5545471740624157       -2.4402422257047363        0.015394474308827455      -0.6135459311602642       
Redshift      All|All|All               All                  All      2.0874367169633694        1.1762432550060709         1.126414998596803         -0.2465389599835624       
