#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_r          4491.533529409134    All      0.10118444326211984        0.4538877779509676         0.382994598333842         0.13197836959628148       
Zeropoint     AB|DECam|DECam_g          3379.445051399213    All      -0.6296628142152396        0.2139149595393519         -0.2185909710718339       0.26502632270936494       
Zeropoint     AB|DECam|DECam_i          5456.652234919352    All      0.8963337588172618         0.25187256441796535        -0.40331966303552924      -0.2279205173404443       
Zeropoint     AB|DECam|DECam_z          6394.393885382854    All      0.6262644700659845         0.07887863955140517        0.24029797076046636       -0.16757817867113858      
Check         All|All|All               All                  All      0.9941198579301265         0.99855394145969           0.0013819349869451936     0.0015059962940635052     
Lambda        AB|DECam|DECam_r          4491.533529409134    All      -0.0001955728894566477     -0.00019321691362232367    -0.001656586501799452     -7.315842831016317e-05    
Lambda        AB|DECam|DECam_g          3379.445051399213    All      -0.0010898092161329646     0.0002927031752735819      -0.0011304750038746388    0.00039988186184876904    
Lambda        AB|DECam|DECam_i          5456.652234919352    All      0.0001724561712843287      1.977324700022476e-05      -0.0008527790812854538    -8.77894652834564e-05     
Lambda        AB|DECam|DECam_z          6394.393885382854    All      -0.00016219820625418767    -2.8741866976075663e-05    -0.0003566770664615527    2.7554260968364588e-05    
MWEBV         All|All|All               All                  All      -0.5248362707125809        -2.450872248288327         -0.0062891148612202515    -0.6276539369093596       
Redshift      All|All|All               All                  All      2.38208819453013           0.8414136330916477         -0.4440145998800845       -0.5216627236553921       
