#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5939.174772577819     All      3.152849007826169          -0.620546224413765        0.26002946749272915       -1.2175150472942768      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4959.6408089467905    All      -2.154829931625379         1.6240988950492863        -0.25506157140337454      1.2195392154372648       
Check         All|All|All                            All                   All      0.9980190762007898         1.0035526706355213        0.0049678960893546065     0.002024168142988003     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5939.174772577819     All      -0.00043292454880596465    0.00010414055464361088    0.00013937556732552972    0.0001811594645515222    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4959.6408089467905    All      -0.00029238795675650786    2.8681625168321335e-05    -0.0011644658037943626    5.261816508306237e-05    
MWEBV         All|All|All                            All                   All      -0.42173564788477513       -2.7907569859159764       -0.012799542944572423     -0.7722393730992209      
Redshift      All|All|All                            All                   All      1.7333405863754066         0.8279175681959572        -0.5852137923601636       -0.3210414683168703      
