#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5939.174772577819     All      3.0253549304100584        -0.7708215496453619       -1.0326203091806319       -1.28262067179582         
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4959.6408089467905    All      -2.0255061154531835       1.778159328323703         1.0586020423263287        1.2862195190799979        
Check         All|All|All                            All                   All      0.9998488149568754        1.007337778678341         0.02598173314569685       0.0035988472841779195     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5939.174772577819     All      -0.000305876139965929     0.00011096062806780677    0.00034994774859199766    0.00015139400963870992    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4959.6408089467905    All      -0.0003751081912124867    0.00022110165837469943    -0.000464046013955485     0.00017349692041540216    
MWEBV         All|All|All                            All                   All      -0.4230215865783089       -2.7875717329060024       -0.0004344592280158821    -0.770231161968056        
Redshift      All|All|All                            All                   All      2.0764667164861277        0.15331738749964074       -2.6165781749716954       -0.7431988726246286       
