#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4377.970660779799    All      -0.9624149267114521       0.8274573599325485        0.33074727351050753        0.5977800205586125         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5419.824191698897    All      0.10493646136399895       0.49132411688184163       -1.1348473075921988        0.07521614800576919        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7620.702193753253    All      0.4939272071604985        -0.11089047419234888      0.42677517565361617        -0.17796400074537522       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6259.353239669679    All      1.3596900352990489        -0.20848519081542172      0.37976150229059336        -0.4938592509122669        
Check         All|All|All                                All                  All      0.9961387771120943        0.9994058118066196        0.0024366438625182396      0.0011729169067394851      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4377.970660779799    All      -0.000973244990186374     0.0006143400638847701     -0.0009225990135937137     0.00047595732547518093     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5419.824191698897    All      2.5702949495085776e-06    0.00028431083224842726    -0.002074581460003806      -8.068803653429179e-07     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7620.702193753253    All      3.638863496463258e-05     -7.498498286432319e-06    3.337626835365331e-05      -1.2806053578701758e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6259.353239669679    All      0.000283510430060895      -9.055588095364004e-05    -0.00026370489680295364    -0.0001336136423050618     
MWEBV         All|All|All                                All                  All      -0.8629137047007336       -4.106030814244965        0.10490745032372024        -1.0517084002768344        
Redshift      All|All|All                                All                  All      4.711019215938597         0.19302068104929404       2.0210109753639744         -1.3814723228874395        
