#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_i          4877.094761521085     All      0.6356006674046704         0.3499203360922465        0.6945892204142878        -0.06205915573800208       
Zeropoint     AB|DECam|DECam_z          5715.237764637222     All      1.4381004669102078         0.15127402737036277       -0.42320388937741593      -0.43804735256825766       
Zeropoint     AB|DECam|DECam_g          3020.5102043251354    All      -0.30286059945550986       0.07518379820972143       0.06003508931866075       0.12582058791592438        
Zeropoint     AB|DECam|DECam_r          4014.482452683071     All      -0.7867157610270826        0.42434291038588867       -0.3244535115062397       0.3800027818686047         
Check         All|All|All               All                   All      0.9841247738322855         1.0007210720582194        0.006966908849292963      0.005716861478269386       
Lambda        AB|DECam|DECam_i          4877.094761521085     All      -0.00028562118715660636    -9.702782620740997e-05    -0.001407373884173876     -1.3735704177930401e-06    
Lambda        AB|DECam|DECam_z          5715.237764637222     All      -0.0003965082233407323     -2.514028005879529e-05    0.0005169080164385821     0.00014403398747036574     
Lambda        AB|DECam|DECam_g          3020.5102043251354    All      -0.0008100132916935207     0.00017635201113220538    -6.397473249192223e-05    0.0003184367310991312      
Lambda        AB|DECam|DECam_r          4014.482452683071     All      -0.0006023325544779747     0.0002541246455846606     -0.0006968878488670428    0.0002478773826605376      
MWEBV         All|All|All               All                   All      -0.2990094506640182        -2.088291909199036        0.1538617088233385        -0.5759620209857396        
Redshift      All|All|All               All                   All      5.510036342927718          0.44633813176524484       3.5456630526775776        -1.491186440698907         
