#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_i          6360.569109800686    All      0.8932966047243112         0.014509766251613598       -0.24518991155039002       -0.29719148415475605       
Zeropoint     AB|DECam|DECam_g          3939.264016981343    All      -0.7038213208630154        0.6059022953339266         0.1359051385643128         0.4326848925668576         
Zeropoint     AB|DECam|DECam_z          7453.651519696985    All      0.5737899252632133         -0.0023077886394773373     0.47963968005435625        -0.16624986245447684       
Zeropoint     AB|DECam|DECam_r          5235.574523142766    All      0.23308367922826095        0.38038341385497887        -0.36927913599911405       0.03150113778333528        
Check         All|All|All               All                  All      0.9963488883527701         0.9984876868010417         0.0010757710691649547      0.0007446837409599907      
Lambda        AB|DECam|DECam_i          6360.569109800686    All      -0.00021244028890281654    -2.5483782723693124e-05    -0.0002514128393671481     4.967848442534988e-05      
Lambda        AB|DECam|DECam_g          3939.264016981343    All      -0.0007090003198817475     0.0005225375595688876      -0.00030259513692745046    0.0003876489725379721      
Lambda        AB|DECam|DECam_z          7453.651519696985    All      -1.1491201058937107e-05    -2.0903330002060285e-05    -0.0002064091207201229     -1.2276931101557008e-05    
Lambda        AB|DECam|DECam_r          5235.574523142766    All      1.4246192779080289e-05     6.345990807450793e-05      -0.00070458826944163       -1.5412012253444845e-05    
MWEBV         All|All|All               All                  All      -0.46814067830656647       -3.130358882669171         0.08527427218583043        -0.8633666544212201        
Redshift      All|All|All               All                  All      4.137093892116937          0.16617763779436245        -3.7877220818257955        -1.4624867034308497        
