#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                    
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    5139.504325937916    All      -2.0808044697381094        1.7971012018801247        -0.696781335153279        1.2320673057662004       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    6154.56151201544     All      3.0782012424274097         -0.7935232122530778       0.6957301225972006        -1.2301007908419124      
Check         All|All|All                            All                  All      0.9973967726893            1.003577989627047         -0.0010512125560784291    0.0019665149242880098    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    5139.504325937916    All      -0.00037589012431521197    -8.534227941627706e-05    -0.002631511271512143     -2.27912701297162e-05    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    6154.56151201544     All      -0.0007069193739449625     0.00014730353086465323    -0.0006297264830273163    0.0002501467024869295    
MWEBV         All|All|All                            All                  All      -0.49892424496936094       -2.9204784422379504       -0.017882747887765244     -0.7895778937228707      
Redshift      All|All|All                            All                  All      8.070736826116864          -0.741173476192003        6.194816678657852         -2.5938828720953557      
