#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4322.199755122162    All      -1.1415200818215498        0.7645624460427491        -0.22353226362226142      0.6108985692990389        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5327.422125822755    All      0.4667079473797727         0.4295890683000181        -0.05384692882044462      -0.014493781214382911     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7815.237573289188    All      0.40455400160839516        -0.07471297931109788      0.14932892907373319       -0.1494491588392155       
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6320.51488715373     All      1.2684505199399263         -0.12119185877361716      0.12921879175673556       -0.4468857994276452       
Check         All|All|All                       All                  All      0.9981923871065445         0.9982466762580522        0.0011685283877627128     6.982981779518616e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4322.199755122162    All      -0.0006226961889975659     0.00020703642806345205    -0.0010538708630081274    0.0002232417944068093     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5327.422125822755    All      9.427393253392201e-05      3.0733455785861675e-05    -0.0011440869151830959    -7.175256811991677e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7815.237573289188    All      -5.907369964331595e-05     1.2371426599019951e-05    -9.660496492617126e-06    2.284092450255614e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6320.51488715373     All      -0.00025291477500237784    1.9008639963508593e-05    -0.0001392781094453431    8.2359059925692e-05       
MWEBV         All|All|All                       All                  All      -0.8331933561336706        -4.023845008271021        0.041187119752650325      -1.0374622204336277       
Redshift      All|All|All                       All                  All      4.964815051106583          -0.19441330885578978      4.554295621964921         -1.4772931139261167       
