#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_B    4322.199755122162    All      -1.1287363024834898        0.7640011781917089        -0.1153437923448685       0.6113796029719712        
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_V    5327.422125822755    All      0.5016286467937136         0.4486089712091079        0.013195560723806241      -0.016681395363336876     
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_I    7815.237573289188    All      0.3677456951389716         -0.07372299778012348      0.10454700147330372       -0.13913542466360015      
Zeropoint     Linear_AB11_off|LOSS|LOSS_K3_R    6320.51488715373     All      1.2576778469168897         -0.14063822843173313      -0.0011946702171815985    -0.4555308616183637       
Check         All|All|All                       All                  All      0.9983158863660851         0.9982489231889602        0.0012040996350598683     3.192132667045877e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_K3_B    4322.199755122162    All      -0.00058677742543189       0.0002402605589092371     -0.000751409850956167     0.00023586150969385415    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_V    5327.422125822755    All      0.00010641509013371983     2.175957434011882e-05     -0.0011417345330076859    -7.852545498881238e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_I    7815.237573289188    All      -3.6719594435230726e-05    1.167036122820007e-05     3.313171623260442e-05     1.7240716868826583e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_K3_R    6320.51488715373     All      -0.0003343703895536087     -5.744677795077557e-06    -0.0005112900087297276    8.422768096500275e-05     
MWEBV         All|All|All                       All                  All      -0.8374923453290659        -4.025717498239523        0.016493549909597005      -1.0377737904146065       
Redshift      All|All|All                       All                  All      4.4467268842538905         -0.2826040320922374       1.818228681724949         -1.4593594745764853       
