#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5405.249209768921    All      -0.7371480815275395       1.2983195820492455         -0.8257993059654203       0.626167152657825          
Zeropoint     AB|CNIa02|SDSS_i                      7390.720131966133    All      1.1616192376207939        -0.2809389975782395        1.4833499379936597        -0.40369358100778574       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4320.561071872799    All      -0.5102959741041189       0.4396896745478607         0.3632235536037212        0.3256505783373581         
Zeropoint     AB|CNIa02|SDSS_r                      6094.560751532542    All      1.075977705859291         -0.4505760055200092        -1.0239642769966015       -0.5429435887061351        
Check         All|All|All                           All                  All      0.9901528878484267        1.0064942534988575         -0.00319009136464099      0.005180561281262208       
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5405.249209768921    All      -0.0005685611660714415    0.0006656402135046744      -0.0013481203410895778    0.00034185957421721297     
Lambda        AB|CNIa02|SDSS_i                      7390.720131966133    All      0.00026035480391069715    -0.00014379528651069915    -0.000174079436012561     -0.00013941334630459843    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4320.561071872799    All      -0.0005443508753385338    0.0004567066903311406      0.0002848981755184328     0.0003387910800376872      
Lambda        AB|CNIa02|SDSS_r                      6094.560751532542    All      0.0005196297714997413     -0.00026736910280772457    -0.0009743625085061178    -0.00029983274852534336    
MWEBV         All|All|All                           All                  All      -0.7635772807058263       -4.075502647491636         0.21620014918573155       -1.0691550313835063        
Redshift      All|All|All                           All                  All      5.32572617544734          -2.486274794895227         6.49370039011645          -2.254841699314858         
