#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5405.249209768921    All      -0.2896402131946504       1.036965322532879         -0.355343576470645         0.4162617152283554         
Zeropoint     AB|CNIa02|SDSS_i                      7390.720131966133    All      0.7870472541800444        -0.1687607610016073       0.8587700265094644         -0.27301515359930134       
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4320.561071872799    All      -0.7653540719228661       0.5869923115376707        0.27396891788639677        0.45272968247914436        
Zeropoint     AB|CNIa02|SDSS_r                      6094.560751532542    All      1.2628346074356316        -0.45630411540855675      -0.7757901543393315        -0.5945999915272563        
Check         All|All|All                           All                  All      0.9948875764981596        0.9988927576603857        0.0016052135858847238      0.0013762525809420945      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5405.249209768921    All      -0.0001974454978395341    0.00026651980067309445    -0.0013684714887471896     9.006016434992298e-05      
Lambda        AB|CNIa02|SDSS_i                      7390.720131966133    All      0.00015334171282140724    -7.819220670358658e-05    -0.00013600820029751833    -8.148763614519669e-05     
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4320.561071872799    All      -0.0006201778758065595    0.0004297661322402698     -3.016559396661223e-05     0.0003406551536395451      
Lambda        AB|CNIa02|SDSS_r                      6094.560751532542    All      0.0002915143896886023     -0.0001208577908387763    -0.0006328386827554601     -0.00016256386972797284    
MWEBV         All|All|All                           All                  All      -0.8225967755020638       -4.048845810841328        0.15601656348677687        -1.0439331485803178        
Redshift      All|All|All                           All                  All      5.280803254795836         -0.9685578479593282       6.557104867774877          -1.743009034485344         
