#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4293.316681746074    All      -0.7208558935168701        0.41593688819352437        -0.13341379199225095       0.3643371635854906        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4622.613733253888    All      -0.6346943255519677        0.5421155299353941         -0.027787154408993035      0.382085672747013         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5380.31803296166     All      0.7805396463546064         0.17368309049006214        0.031033068627954744       -0.19628828190961387      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6093.619991014452    All      1.1688518397034489         -0.07554385645560657       0.06853329626292844        -0.40228229139121635      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7394.464366800314    All      0.40543347738319274        -0.058916109160644936      0.06285098282910397        -0.1484491862854236       
Check         All|All|All                      All                  All      0.9992747443724102         0.9972755430027291         0.0012164013187431488      -0.0005969232537502422    
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4293.316681746074    All      -0.0003609858428981924     0.00011759710432211234     -0.000545285461615542      0.00013155662507458485    
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4622.613733253888    All      -8.3887196260686e-05       -8.266068414191224e-05     -0.0008012919266823533     -3.535846313899305e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5380.31803296166     All      0.00017968243807381157     -2.0474039275061272e-05    -0.0007409479488758764     -9.826265353253026e-05    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6093.619991014452    All      -0.00018440772641954874    -7.0894731897293865e-06    -0.0002727112239268817     4.558853926769921e-05     
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7394.464366800314    All      -4.634499030835298e-05     -1.1196373073002362e-05    -0.00018582526008072752    3.156533095860244e-06     
MWEBV         All|All|All                      All                  All      -0.8606857526588332        -4.007232670651728         0.008454958416777916       -1.0245565435471649       
Redshift      All|All|All                      All                  All      5.347447617277846          0.033862062528999815       3.6684353898134057         -1.5671042040209804       
