#Format:      
#Parameter    MagSys|Instrument|Band           RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_B    4293.316681746074    All      -0.7160239736936302        0.42793067897806125        -0.06794967128788132      0.3695913836173459         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_g    4622.613733253888    All      -0.661810638344815         0.537513876174156          -0.17858465018494307      0.3826900382552553         
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_V    5380.31803296166     All      0.7744069235736575         0.17606024338334691        0.07103395371480525       -0.19173127965191605       
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_r    6093.619991014452    All      1.1652605625897283         -0.08228560867600265       0.0669833162634137        -0.4033776732695907        
Zeropoint     Linear_AB11_off|LCOGT|LCOGT_i    7394.464366800314    All      0.43694732994125995        -0.061919405764143676      0.10975178395893348       -0.1575995900009869        
Check         All|All|All                      All                  All      0.9987802040662003         0.9972997840954179         0.0012347324643280366     -0.0004271210498923428     
Lambda        Linear_AB11_off|LCOGT|LCOGT_B    4293.316681746074    All      -0.00039757132508736224    0.0001503824700727         -0.0005301923789991407    0.00015482652743882083     
Lambda        Linear_AB11_off|LCOGT|LCOGT_g    4622.613733253888    All      -0.00016804303806676918    -3.2158339305080885e-05    -0.0007989721548557507    8.607659135651605e-06      
Lambda        Linear_AB11_off|LCOGT|LCOGT_V    5380.31803296166     All      0.00023578896771191734     -1.4258292693321186e-05    -0.0008027329478644517    -0.00011727090366862164    
Lambda        Linear_AB11_off|LCOGT|LCOGT_r    6093.619991014452    All      -0.00016150518343384322    -2.1376831602711477e-05    -0.0004007334418284872    2.776152127056319e-05      
Lambda        Linear_AB11_off|LCOGT|LCOGT_i    7394.464366800314    All      -6.759135556653694e-05     -1.3527831217815608e-05    -0.0002596324920208034    6.02406284751507e-06       
MWEBV         All|All|All                      All                  All      -0.8646254806584741        -4.008086902757935         0.0018535835340727225     -1.0238460850668707        
Redshift      All|All|All                      All                  All      5.201299581921544          -0.3345329362879568        3.38804244036669          -1.652010001263604         
