#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5121.0825035396165    All      0.1264682810541154         0.40050508947251373       -0.4523665064065985        0.0690757645083695        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4205.283062587749     All      -1.0193179483022887        0.7590740551934871        0.6259682840315084         0.6072148724456328        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6058.4084446250345    All      1.3353133418303478         -0.10416780590665198      -0.7228665708753468        -0.5011445823931343       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7824.172785796201     All      0.5590365282804904         -0.05840322010879362      0.5529369210258706         -0.1764454039767882       
Check         All|All|All                       All                   All      1.0015002028626647         0.9970081186505553        0.0036721277754336867      -0.0012993494159202479    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5121.0825035396165    All      -1.121921648635204e-05     8.230741605713961e-05     -0.0016527792486409558     -4.329124577209098e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4205.283062587749     All      -0.0006920966350856102     0.00033770798754922406    -0.0006932126380916514     0.00030450634893038373    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6058.4084446250345    All      -0.00021438641958542224    -8.551859795006222e-06    -0.00027957267134655133    5.457104358825359e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7824.172785796201     All      -2.580209196358857e-05     -2.73357713237367e-06     -9.429936896914486e-05     3.3060264763654897e-06    
MWEBV         All|All|All                       All                   All      -0.7332251024557452        -3.86017055186727         0.15224189234729346        -1.0117551498892332       
Redshift      All|All|All                       All                   All      4.527513758093448          0.12543617345528446       5.018814217530387          -1.2099348654190558       
