#Format:      
#Parameter    MagSys|Instrument|Band            RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_V    5121.0825035396165    All      0.17538478922678555       0.43438695640993785        -0.3547270589969006        0.06853568732917815       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_B    4205.283062587749     All      -1.0123994198112252       0.6813876996863755         0.18759267905816848        0.5600935884457882        
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_R    6058.4084446250345    All      1.3530127251640516        -0.06882752089918398       -0.27999210295053506       -0.4756349068949378       
Zeropoint     Linear_AB11_off|LOSS|LOSS_N1_I    7824.172785796201     All      0.4830043603026824        -0.04877913998164729       0.4515065419685719         -0.15307071792659133      
Check         All|All|All                       All                   All      0.9990024548822947        0.998167995215482          0.004380059079304721       -7.634904656284025e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_V    5121.0825035396165    All      -8.059815200853243e-05    6.244899748640716e-05      -0.0015257843647722492     -2.149358582373243e-05    
Lambda        Linear_AB11_off|LOSS|LOSS_N1_B    4205.283062587749     All      -0.0005831514352614856    0.00022961092801515953     -0.0009861011158267877     0.0002207382770059854     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_R    6058.4084446250345    All      -0.0002551713357720672    -6.2292503937905085e-06    -0.00021983936705032852    7.127820589328395e-05     
Lambda        Linear_AB11_off|LOSS|LOSS_N1_I    7824.172785796201     All      -3.206647686124339e-05    -2.1165671187910285e-06    -8.800683603357436e-05     5.8283300344796985e-06    
MWEBV         All|All|All                       All                   All      -0.7435027327762764       -3.8610592391314924        0.09526256074163111        -1.011239588121698        
Redshift      All|All|All                       All                   All      5.069814461240245         0.6742751337585062         5.758944096201035          -1.1747765427694454       
