#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|ACSWF|F850LP      4937.62736538254     All      4.530314180968917        0.3026607745377774        0.4332479471383571        -1.3577519340955           
Zeropoint     VEGAHST|ACSWF|F775W       4203.784659227462    All      -3.5300066222668707      0.6976348820924017        -0.43850325352831065      1.3575135370116918         
Check         All|All|All               All                  All      1.0003075587020467       1.000295656630179         -0.005255306389953529     -0.00023839708380823943    
Lambda        VEGAHST|ACSWF|F850LP      4937.62736538254     All      0.002196359799909818     -0.0013533873509542443    -0.005525002927492948     -0.0014028249354822789     
Lambda        VEGAHST|ACSWF|F775W       4203.784659227462    All      -0.003757249903650078    0.0006014803402657044     -0.0011120087769628903    0.0013701579939647776      
MWEBV         All|All|All               All                  All      0.10836148593005124      -1.734669323405491        0.027446370655687113      -0.5991109630474636        
Redshift      All|All|All               All                  All      6.826906253765391        2.6217193819979556        13.724246591839933        -0.7573176184642881        
