#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                   dmB/dP                    ds/dP                    dc/dP                     
Zeropoint     VEGAHST|ACSWF|F850LP      4937.62736538254     All      4.5239848714427495       0.33789140822211294       0.5848811967261164       -1.3374477978075436       
Zeropoint     VEGAHST|ACSWF|F775W       4203.784659227462    All      -3.522281954903561       0.6627164109364259        -0.5869326369259079      1.3369995422088397        
Check         All|All|All               All                  All      1.0017029165391886       1.0006078191585388        -0.002051440199791532    -0.0004482555987039838    
Lambda        VEGAHST|ACSWF|F850LP      4937.62736538254     All      0.0024127017200354156    -0.0012819419814669407    -0.004920283875131194    -0.001423036675047339     
Lambda        VEGAHST|ACSWF|F775W       4203.784659227462    All      -0.003962175124661308    0.0005882764020287671     -0.001312900091843152    0.0014236430664845486     
MWEBV         All|All|All               All                  All      0.10716927318004021      -1.7349389294560424       0.025286567377152416     -0.5989068217932941       
Redshift      All|All|All               All                  All      6.595072354873312        2.862403560924953         14.004351858375161       -0.5909031235670884       
