#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|MEGACAMPSF|i           5448.236770580068    All      1.0139574116577696        0.28902024248900204        0.0531747695075413         -0.23376293998248684      
Zeropoint     AB|MEGACAMPSF|g           3490.075716635161    All      -0.353149748199701        0.18271931901594485        0.13598307288498757        0.18061848475598996       
Zeropoint     AB|MEGACAMPSF|z           6281.803034112923    All      0.9239414008429596        0.046252585921990885       0.4967500774602507         -0.2637244476576268       
Zeropoint     AB|MEGACAMPSF|r           4455.817287111387    All      -0.5594341442139563       0.4646102169603594         -0.7140377431392841        0.3017007134736918        
Check         All|All|All               All                  All      1.0253149200870721        0.9826023643872972         -0.028129823286504596      -0.01516818941043191      
Lambda        AB|MEGACAMPSF|i           5448.236770580068    All      2.593450879658475e-05     -4.683139010931537e-05     -0.0011448080671589561     -7.478977332465054e-05    
Lambda        AB|MEGACAMPSF|g           3490.075716635161    All      -0.0004182996112316342    0.0002602994745436102      0.0003460404653708125      0.00023648424414692045    
Lambda        AB|MEGACAMPSF|z           6281.803034112923    All      -0.0003402803989946658    -4.4426411714180575e-05    -0.00047903694000530044    7.499215846897689e-05     
Lambda        AB|MEGACAMPSF|r           4455.817287111387    All      -0.0005558455230852088    -0.00017713953053486798    -0.0026312351829562287     5.937059441478006e-06     
MWEBV         All|All|All               All                  All      -0.456256776318988        -2.5443692348005698        0.016101045395466862       -0.6794484088802615       
Redshift      All|All|All               All                  All      3.05349000193354          0.5316428114984006         -0.9222239694175016        -0.8626032163665593       
