#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|MEGACAMPSF|i           5448.236770580068    All      1.0224416267070855        0.27220785484640686        -0.018178503962641136      -0.24518704459399368       
Zeropoint     AB|MEGACAMPSF|g           3490.075716635161    All      -0.4317461242439013       0.2261410576966938         0.20609669798879415        0.22349264806679475        
Zeropoint     AB|MEGACAMPSF|z           6281.803034112923    All      0.9753180994231969        0.04051191061513748        0.5033807305754874         -0.2820335598433934        
Zeropoint     AB|MEGACAMPSF|r           4455.817287111387    All      -0.5733141212786063       0.4612361356882033         -0.6862178529284578        0.30636430329498726        
Check         All|All|All               All                  All      0.992699480607775         1.0000969588464415         0.005081071673182502       0.0026363469243949056      
Lambda        AB|MEGACAMPSF|i           5448.236770580068    All      0.00011304973008043313    -1.568839874453823e-05     -0.0007696284290977724     -7.627922593204111e-05     
Lambda        AB|MEGACAMPSF|g           3490.075716635161    All      -0.000727078452196278     0.00028569393813085295     -0.0002427712906264062     0.0003190595190590597      
Lambda        AB|MEGACAMPSF|z           6281.803034112923    All      -0.0003087279730388168    -3.674656606066277e-05     -0.00045189776394337355    6.842717046186054e-05      
Lambda        AB|MEGACAMPSF|r           4455.817287111387    All      -0.0005075085488888061    -0.00015808057857115562    -0.0025736269625529573     -1.0289653264184923e-06    
MWEBV         All|All|All               All                  All      -0.4266815422757526       -2.544301306274477         0.09737545723851378        -0.6854330053280286        
Redshift      All|All|All               All                  All      3.472006534972514         0.4283069598898237         0.47207140144009324        -0.9703667078454065        
