#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                5927.31309733037     All      0.7158838827090648         0.014058902346647528       -0.6885041776126144        -0.2593322647216109       
Zeropoint     AB|PS|PS_g                3353.075320430365    All      -0.494589711697176         0.12390651567351085        -0.1546623774151712        0.19456269761068679       
Zeropoint     AB|PS|PS_r                4258.178030354365    All      -0.5194771009959864        0.45700042790155493        -0.30881611510600315       0.30428981144235145       
Zeropoint     AB|PS|PS_i                5157.575816909746    All      1.2879966041648125         0.404805643510997          1.160421490805641          -0.23590007049297812      
Check         All|All|All               All                  All      0.989813674180715          0.9997714894327103         0.008438820671852199       0.0036201738384492033     
Lambda        AB|PS|PS_z                5927.31309733037     All      -0.00039349818527356054    -2.3500384104691167e-05    3.467560152188252e-05      0.00012206786924344213    
Lambda        AB|PS|PS_g                3353.075320430365    All      -0.0005888050346413076     0.00014523271179938419     -0.00033061755114305807    0.00022434630030426477    
Lambda        AB|PS|PS_r                4258.178030354365    All      -0.0004140401854008963     -2.6137790034312114e-05    -0.0019853118854789202     3.7757220539404594e-05    
Lambda        AB|PS|PS_i                5157.575816909746    All      0.00022715145655504142     6.984321119823036e-05      -3.901315151414453e-05     -5.298144857141657e-05    
MWEBV         All|All|All               All                  All      -0.47937167101887          -2.402264408740251         0.022601250393616823       -0.625340835966598        
Redshift      All|All|All               All                  All      2.2121300023890758         0.183695725819355          -4.605011736517306         -0.8662283011311375       
