#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_z                5927.31309733037     All      0.7008173613155656        0.0030694436906841815     -0.6781606181814848        -0.2575426457054544       
Zeropoint     AB|PS|PS_g                3353.075320430365    All      -0.5177548137474213       0.13681419406506024       -0.15471330952126103       0.20631051609383347       
Zeropoint     AB|PS|PS_r                4258.178030354365    All      -0.5557274705957429       0.42559208536072646       -0.26812111847152165       0.3076830497478407        
Zeropoint     AB|PS|PS_i                5157.575816909746    All      1.362696368625093         0.4340343617570852        1.1034043154911035         -0.2532559008618002       
Check         All|All|All               All                  All      0.9900314455974943        0.9995100848735561        0.002409269316836049       0.0031950192744196193     
Lambda        AB|PS|PS_z                5927.31309733037     All      -0.0003892121706589808    -1.252062626660404e-05    0.00019105336413018095     0.00013122666295707218    
Lambda        AB|PS|PS_g                3353.075320430365    All      -0.0007926680743316992    0.00018653161566538766    -0.0005746721219068769     0.00029331257631786474    
Lambda        AB|PS|PS_r                4258.178030354365    All      -0.0003755280307893874    5.131291961758008e-05     -0.001662950132038012      6.482631345855367e-05     
Lambda        AB|PS|PS_i                5157.575816909746    All      0.00024009197814832238    9.83455841432595e-05      -0.00048624347588949705    -6.787027693873746e-05    
MWEBV         All|All|All               All                  All      -0.4491429383916048       -2.4061030718746323       0.004524156087410306       -0.637244405243991        
Redshift      All|All|All               All                  All      1.9733255086829224        -0.1652170667121311       -3.794236730601276         -0.8659130317548627       
