#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5119.58390216432      All      0.28154051362069454        0.25528041535327617       0.4400438448262143         0.01108335780904657        
Zeropoint     VEGAHST|ACSWF|F850LP                   5828.1750480991595    All      1.839468442712441          -0.1192691788828526       0.15262940004595005        -0.6312141347846901        
Zeropoint     VEGAHST|ACSWF|F775W                    4961.976885955906     All      0.3445075929000925         0.15131863891024722       -0.8785311957461098        -0.10213281036060662       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4275.2231106646595    All      -0.4149977939408621        0.6271813059360198        1.265109696679906          0.3959280548280225         
Zeropoint     VEGAHST|ACSWF|F625W                    4077.3113007250113    All      -1.0533432041651147        0.08156993236632104       -0.9921667632230933        0.3254027003159192         
Check         All|All|All                            All                   All      0.9971755511272514         0.9960811136830117        -0.012915017417132746      -0.0009328321923084415     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5119.58390216432      All      8.412574742978874e-05      5.554099912284957e-05     0.00018459736714097465     -1.0732602633959726e-06    
Lambda        VEGAHST|ACSWF|F850LP                   5828.1750480991595    All      -0.00037722751058264344    7.3240443346111484e-06    -0.00031638284966546573    0.00011114237932022338     
Lambda        VEGAHST|ACSWF|F775W                    4961.976885955906     All      -8.414858386509108e-06     -7.411986596616679e-05    -0.0024271911564986708     -0.00012971667622800509    
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4275.2231106646595    All      -9.009040989852154e-05     0.00012848959474518257    0.00034810294921730776     8.673293442556199e-05      
Lambda        VEGAHST|ACSWF|F625W                    4077.3113007250113    All      -0.000982810445927267      7.79349285658595e-05      -0.000912128846999023      0.00030481554477337474     
MWEBV         All|All|All                            All                   All      -0.14814116448267578       -2.2559463228509102       -0.00948849564386079       -0.6870049127920012        
Redshift      All|All|All                            All                   All      6.811540603613921          0.7589124974034078        12.168828668385272         -1.4285011656813458        
