#Format:      
#Parameter    MagSys|Instrument|Band                 RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_I    5119.58390216432      All      0.5017545542319092         0.25144020617879903        1.1921084409806326        -0.02833729369340829       
Zeropoint     VEGAHST|ACSWF|F850LP                   5828.1750480991595    All      1.8483526400313794         -0.12319523898067786       0.19416864924637345       -0.6335331511613369        
Zeropoint     VEGAHST|ACSWF|F775W                    4961.976885955906     All      0.07910533808210149        0.15551005447260735        -1.5371213655928084       -0.04370713703443288       
Zeropoint     Linear_AB11_off|MOSAICII|MOSAICII_R    4275.2231106646595    All      -0.47042207440172457       0.653302187979321          1.6837731864227212        0.4411730257071526         
Zeropoint     VEGAHST|ACSWF|F625W                    4077.3113007250113    All      -0.9662710447995256        0.056264982424103493       -1.5500579317229146       0.26390165816859606        
Check         All|All|All                            All                   All      0.9925194131441399         0.9933221920741531         -0.017129020665995753     -0.0005028980134293981     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_I    5119.58390216432      All      0.00020959049113249132     4.480518317555696e-05      0.0005609963853995521     -2.8641303959998602e-05    
Lambda        VEGAHST|ACSWF|F850LP                   5828.1750480991595    All      -0.0002982754082896034     2.7364680039411354e-06     -0.0002510847862831148    8.684471028428592e-05      
Lambda        VEGAHST|ACSWF|F775W                    4961.976885955906     All      -0.00041695076614467957    -0.00012835374693586526    -0.0030027058193595104    -3.999142607278133e-05     
Lambda        Linear_AB11_off|MOSAICII|MOSAICII_R    4275.2231106646595    All      -9.367657091694038e-05     8.642390612616254e-05      0.0003103157717918071     7.251261816891874e-05      
Lambda        VEGAHST|ACSWF|F625W                    4077.3113007250113    All      -0.0008238397422416888     3.493948059485161e-05      -0.0013923696487292557    0.00021759758337479884     
MWEBV         All|All|All                            All                   All      -0.149467268553944         -2.253434591012393         0.004363054418776713      -0.6851366723137058        
Redshift      All|All|All                            All                   All      7.064833070420226          1.42791468153316           14.39414734375144         -1.1937850823430354        
