#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|CNIa02|SDSS_i                      7385.977876058976     All      0.7965287533031602        -0.34495638849270094       0.3234637566400633         -0.35738456258507245       
Zeropoint     AB|CNIa02|SDSS_r                      6090.6501763505       All      1.1841518184620363        -0.24924985226242313       -0.5388730201316805        -0.4909535096034201        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4317.788783665498     All      -0.8149832268737246       0.6004576337515388         -0.13590684452098323       0.45499075665338395        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5401.7809313688485    All      -0.17163843622028052      0.9925747427058873         0.3473159465577913         0.3947216493826011         
Check         All|All|All                           All                   All      0.9940589086711912        0.998826135702302          -0.004000161454809081      0.001374333847492526       
Lambda        AB|CNIa02|SDSS_i                      7385.977876058976     All      8.577487746303213e-05     -0.00017854360106130373    -0.0007072340224775696     -0.00011765783048982506    
Lambda        AB|CNIa02|SDSS_r                      6090.6501763505       All      0.0006190344145070744     -0.00017747873516655977    -0.001242675787700109      -0.00031490545035457626    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4317.788783665498     All      -0.000987009112993554     0.0007209272855641275      -0.00022679059141944422    0.0005462104519652175      
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5401.7809313688485    All      -0.0002458572682461483    0.000700004718965577       -0.0003198139336434249     0.0002938265401637056      
MWEBV         All|All|All                           All                   All      -0.8301733075603379       -4.080289765812584         0.03133830191284215        -1.0572713716254678        
Redshift      All|All|All                           All                   All      5.263348707145839         -5.135165464561631         8.36885118653603           -3.013674774968089         
