#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|CNIa02|SDSS_i                      7385.977876058976     All      0.49073132446633694       -0.16019797119382062       0.06620820505669081        -0.20907451842586025      
Zeropoint     AB|CNIa02|SDSS_r                      6090.6501763505       All      1.2255404554532006        -0.24884978661807722       -0.38893871305693334       -0.49761395627364097      
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_B    4317.788783665498     All      -1.0524781793580402       0.6577998115844252         -0.24251500918550306       0.5462714770957823        
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5401.7809313688485    All      0.3334693196457143        0.7494893033688221         0.5643986955739063         0.16069791694356125       
Check         All|All|All                           All                   All      0.9972629202072117        0.9982413571413495         -0.0008468216118392435     0.0002809193398422838     
Lambda        AB|CNIa02|SDSS_i                      7385.977876058976     All      6.434828884048564e-05     -9.230779841842923e-05     -0.00029987017098742896    -6.440986992970444e-05    
Lambda        AB|CNIa02|SDSS_r                      6090.6501763505       All      4.5200878734746956e-05    -2.9087652012660864e-05    -0.00030714046912184046    -3.790448697625406e-05    
Lambda        Linear_AB11_off|CNIa02|Bessell12_B    4317.788783665498     All      -0.0004771370581169824    0.00028556973057524115     -0.00016790293700477628    0.00024094595645686296    
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5401.7809313688485    All      1.5146349454443092e-05    -1.2497390258569322e-05    -0.000791249790536435      -4.431431954934985e-05    
MWEBV         All|All|All                           All                   All      -0.8785364346421916       -4.045039868169731         0.007041166018190525       -1.0311201282680937       
Redshift      All|All|All                           All                   All      4.818220017247228         -0.06203738061207886       4.186945369520845          -1.4028162482850002       
