#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                    dc/dP                      
Zeropoint     AB|DECam|DECam_g          3565.2649772459445    All      -0.7207741150970758       0.37076407906830866        0.3697089977780621       0.37204831493842966        
Zeropoint     AB|DECam|DECam_r          4738.502015263743     All      0.35359743320565873       0.4087912625500678         -0.01643947407607982     0.01724482781628213        
Zeropoint     AB|DECam|DECam_z          6745.9917896377765    All      0.8122843626351188        0.13359348007870864        2.14781812897199         -0.12522469019128588       
Zeropoint     AB|DECam|DECam_i          5756.688098276355     All      0.5517823750728585        0.08604347033127624        -2.4789805685665023      -0.2623320008583691        
Check         All|All|All               All                   All      0.9968900558165603        0.9991922920283614         0.022107084107469976     0.0017364517050568185      
Lambda        AB|DECam|DECam_g          3565.2649772459445    All      -0.0013797292144784722    0.0004932459360871134      -0.002329840306517106    0.0005061195532810235      
Lambda        AB|DECam|DECam_r          4738.502015263743     All      -7.854527031242169e-05    -2.5164750839372693e-05    -0.000889002776386916    -2.2284319508781275e-05    
Lambda        AB|DECam|DECam_z          6745.9917896377765    All      -0.0005004058681127752    -8.741353341603607e-05     -0.001452576581568814    6.970336906247938e-05      
Lambda        AB|DECam|DECam_i          5756.688098276355     All      -7.043331481428596e-05    -1.2378521251836559e-05    0.000514002328518223     4.184791940372833e-05      
MWEBV         All|All|All               All                   All      -0.491501300937911        -2.6571405642872747        0.2633950217524883       -0.6936658453971574        
Redshift      All|All|All               All                   All      6.206048528678501         0.004727455562303362       6.379520449684795        -1.7352855933255313        
