#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_g          3565.2649772459445    All      -0.7372483105332126       0.35815680097393          0.03191838633607341       0.3582338535619494         
Zeropoint     AB|DECam|DECam_r          4738.502015263743     All      0.42787379381180163       0.4209843633601551        0.46278993030284665       0.018408074918515795       
Zeropoint     AB|DECam|DECam_z          6745.9917896377765    All      0.7542693978729721        0.11974326260251189       1.7484883879770652        -0.12865903130866524       
Zeropoint     AB|DECam|DECam_i          5756.688098276355     All      0.5522719490790835        0.10018706190724203       -2.2196988991945794       -0.24631388806563484       
Check         All|All|All               All                   All      0.9971668302306446        0.999071488843839         0.023497805421405893      0.001669009106165159       
Lambda        AB|DECam|DECam_g          3565.2649772459445    All      -0.0011804072476699643    0.0004870560504241215     -0.001448225968718874     0.0004785199805796743      
Lambda        AB|DECam|DECam_r          4738.502015263743     All      -9.921165277012358e-05    -3.858831313128667e-05    -0.0009127848082555116    -2.0986377554452185e-05    
Lambda        AB|DECam|DECam_z          6745.9917896377765    All      -0.0005081635313331639    -8.554271080922606e-05    -0.0011946429559501195    8.435007672924152e-05      
Lambda        AB|DECam|DECam_i          5756.688098276355     All      -9.780794138853006e-05    -1.898676010733391e-05    0.0005609252923805149     5.0706171445383286e-05     
MWEBV         All|All|All               All                   All      -0.5125025691643987       -2.6560253183902205       0.16661209667133675       -0.6907807465738921        
Redshift      All|All|All               All                   All      5.696891252250293         0.08501933054869681       4.820698671860939         -1.6128456689435333        
