#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                   ds/dP                      dc/dP                      
Zeropoint     AB|DECam|DECam_g          4025.679990863798    All      -0.8021933179812457       0.5583827505569516       -0.14092227155328985       0.43689567339915203        
Zeropoint     AB|DECam|DECam_i          6500.10146196105     All      0.7632090374357898        -0.09261535761897477     -0.58460876743891          -0.30485856553547075       
Zeropoint     AB|DECam|DECam_z          7617.162914789675    All      0.31354472339684564       -0.022798071918117557    0.1493531342324772         -0.1028929693567146        
Zeropoint     AB|DECam|DECam_r          5350.427772201775    All      0.7239871656133402        0.5551986017321653       0.5760076142010684         -0.029275413920400173      
Check         All|All|All               All                  All      0.9985476084647298        0.9981679227520246       -0.00017029055865425136    -0.0001312754134334959     
Lambda        AB|DECam|DECam_g          4025.679990863798    All      -0.0007870591194705774    0.0004363311454461293    -0.0006523809780167668     0.0003693856908561595      
Lambda        AB|DECam|DECam_i          6500.10146196105     All      -0.0003076639514184118    3.61956349831918e-05     -8.019899265661849e-05     0.0001084274672337612      
Lambda        AB|DECam|DECam_z          7617.162914789675    All      -9.027925169785968e-05    2.191259441166837e-05    3.458390565227969e-05      3.8087896151104356e-05     
Lambda        AB|DECam|DECam_r          5350.427772201775    All      2.5736707431649162e-05    7.419703261127168e-05    -0.0010788450530164217     -3.2358777551670115e-05    
MWEBV         All|All|All               All                  All      -0.4939369480347966       -3.23513400348876        0.0653392474135206         -0.8899822731460296        
Redshift      All|All|All               All                  All      7.922197865221419         -1.5076820034533256      -1.0937674825301391        -3.120431926313151         
