#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|DECam|DECam_g          4025.679990863798    All      -0.9048655836167387        0.6158057281826501        -0.30302761639401116      0.4818099440890585        
Zeropoint     AB|DECam|DECam_i          6500.10146196105     All      0.8633202402030101         -0.07728954406154287      -0.4411208332492413       -0.3260727486709118       
Zeropoint     AB|DECam|DECam_z          7617.162914789675    All      0.37163537418992665        -0.03791035295623857      0.17961781869860657       -0.12538699869200526      
Zeropoint     AB|DECam|DECam_r          5350.427772201775    All      0.6663604111848146         0.4975576242079782        0.5622120403512697        -0.02989567995072065      
Check         All|All|All               All                  All      0.9964504419610126         0.9981634553728469        -0.0023185905933761353    0.0004545167754207713     
Lambda        AB|DECam|DECam_g          4025.679990863798    All      -0.0008990504773141404     0.0005114352612998388     -0.0006472984829295972    0.00043055565031030116    
Lambda        AB|DECam|DECam_i          6500.10146196105     All      -0.0004117634514575417     2.6890038530349784e-05    -0.0003883428479274767    0.0001255539152514095     
Lambda        AB|DECam|DECam_z          7617.162914789675    All      -0.00011458293094146601    1.0667726274224778e-05    -8.719857736171965e-05    3.690698766030463e-05     
Lambda        AB|DECam|DECam_r          5350.427772201775    All      6.72087990993123e-05       3.7527840518883845e-05    -0.0014086761411461622    -7.253081104803021e-05    
MWEBV         All|All|All               All                  All      -0.49665883345921635       -3.240389716210501        0.06306988428713015       -0.8909088953107323       
Redshift      All|All|All               All                  All      7.920086800762254          -1.5873944857036193       0.18052159696831224       -3.0888435920785717       
