#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            7015.284406500067     All      1.070953646066818         -0.27052204610047426       0.058744430046497875      -0.43434127206870426       
Zeropoint     AB|SDSS|SDSS_z            8340.588374672492     All      0.28107307359489225       -0.03737858008800998       0.1984234593161549        -0.0948754526894427        
Zeropoint     AB|SDSS|SDSS_r            5784.967667733828     All      0.6115637694835444        0.28629446168828565        -0.44974921823619507      -0.12602115657772556       
Zeropoint     AB|SDSS|SDSS_g            4427.1546566087145    All      -0.9631406754738703       1.0188354865043436         0.18768805169440128       0.653970496762328          
Check         All|All|All               All                   All      1.0004498136713846        0.997229322004145          -0.004893277179141009     -0.0012673845735445832     
Lambda        AB|SDSS|SDSS_i            7015.284406500067     All      -0.0004489919742663429    -0.00018615600307053136    -0.0010445614303616986    3.9000343725165734e-05     
Lambda        AB|SDSS|SDSS_z            8340.588374672492     All      1.8016695405005605e-05    7.304621381517311e-06      3.502977630013409e-05     -1.9260568958859686e-06    
Lambda        AB|SDSS|SDSS_r            5784.967667733828     All      -0.0002538013652312954    -0.00012296702641869157    -0.0006357815367598211    1.4245038526549953e-05     
Lambda        AB|SDSS|SDSS_g            4427.1546566087145    All      -0.0009418545692914832    0.0009400911834295303      0.00010394634748301554    0.0006176502939173247      
MWEBV         All|All|All               All                   All      -0.6469879972822925       -3.832520153801333         0.06574664295055932       -1.0346986535618288        
Redshift      All|All|All               All                   All      8.439414357102358         -2.768819542652068         2.378721660950056         -3.5447390984378724        
