#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            7015.284406500067     All      1.2708853767458905        -0.37095595438678686       1.1318633659188673        -0.4842918729647533       
Zeropoint     AB|SDSS|SDSS_z            8340.588374672492     All      0.2134423505135554        -0.037885702329187865      0.19657756401061377       -0.07309346142452416      
Zeropoint     AB|SDSS|SDSS_r            5784.967667733828     All      0.3588035350744994        0.5245538159114105         -1.86835364211137         -0.029385722518679686     
Zeropoint     AB|SDSS|SDSS_g            4427.1546566087145    All      -0.8296184311668111       0.8759691673857262         0.6444546153384266        0.5843250426234208        
Check         All|All|All               All                   All      1.013512831167134         0.9916813265811619         0.10454190315653766       -0.0024460142845362798    
Lambda        AB|SDSS|SDSS_i            7015.284406500067     All      -0.0005892119451391675    -0.00013837754241614243    -0.0017604676984503036    6.829000913203048e-05     
Lambda        AB|SDSS|SDSS_z            8340.588374672492     All      4.291974331566663e-05     -4.508275919499832e-06     3.5993353129861255e-05    -1.384264816168582e-05    
Lambda        AB|SDSS|SDSS_r            5784.967667733828     All      -0.0002476870870961481    -8.389681358222184e-05     -0.0005668367612530285    2.805655935578546e-05     
Lambda        AB|SDSS|SDSS_g            4427.1546566087145    All      -0.0007576292406692646    0.0007905124678654789      0.00033437043428412945    0.0005192021035933777     
MWEBV         All|All|All               All                   All      -0.6403175608294434       -3.847189352834768         0.12358639601734095       -1.0390685523618726       
Redshift      All|All|All               All                   All      8.894375335565442         -2.2751195479626674        10.460790120591911        -3.1714549306211786       
