#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4280.21015087889     All      -0.48477808360552427      0.3236473040475696         -0.213072866835496        0.2538222817252869         
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7450.531173892743    All      0.8929274066347634        -0.37234501258736064       1.028727891173131         -0.36623345216006686       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6119.581274123657    All      1.2754527677189949        -0.19251924373007157       -0.035201815397353786     -0.47973767431873093       
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5298.798991301737    All      -0.7813019477402401       1.266496308259668          -0.9524145959422893       0.6245333734058028         
Check         All|All|All                                All                  All      0.9023001430079939        1.0252793559898055         -0.17196138700200803      0.03238452865229202        
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4280.21015087889     All      -0.0006707262852315738    0.00047162482412636825     -0.0003294025174964789    0.000357401617088249       
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7450.531173892743    All      -6.119709725267098e-05    4.4346621428968686e-05     -0.0006834142231376356    3.881423489180322e-06      
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6119.581274123657    All      0.00031975543260228626    -2.6234602643712517e-05    -0.0004920839197077532    -0.00013465978249054106    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5298.798991301737    All      -0.0006751570698713667    0.0010709887181431764      -0.0004102852265815985    0.0005504679843559818      
MWEBV         All|All|All                                All                  All      -0.845016271998138        -4.0090366337039995        -0.35706533527787854      -1.0465597109573066        
Redshift      All|All|All                                All                  All      7.324889656430784         -5.652980919556949         -2.583377697928274        -4.3426036874931295        
