#Format:      
#Parameter    MagSys|Instrument|Band                     RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4280.21015087889     All      -1.0086675237396312        0.6638935110563793        0.06807147656620699        0.5478458720148472        
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7450.531173892743    All      0.5231166221879994         -0.158954124113464        0.22992570054302325        -0.21191235352673266      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6119.581274123657    All      1.284839723161443          -0.1532477002827548       0.02484452899501829        -0.46732368826445614      
Zeropoint     Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5298.798991301737    All      0.1966824913916671         0.6462944999241493        -0.32459377408742046       0.13196829364250998       
Check         All|All|All                                All                  All      0.9959713130014781         0.9979861865843098        -0.0017520679831719566     0.0005781238661684285     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_B_1     4280.21015087889     All      -0.0005994386941168162     0.00035423505902129355    -3.753504910429875e-05     0.0003089678994823521     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_i'_1    7450.531173892743    All      -0.00015629456301137308    4.582910492114175e-05     -0.00047373558646505174    4.469768488169471e-05     
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_r'_1    6119.581274123657    All      -0.00014316519775512892    2.0947225146797918e-05    -0.0007921923230707148     1.8104910306592483e-05    
Lambda        Linear_AB11_off|CfA34_FLWO|CfA4_KC_V_1     5298.798991301737    All      -4.069581170642792e-05     0.0002779693824419151     -0.001132756794394788      5.325000433754301e-05     
MWEBV         All|All|All                                All                  All      -0.8441118953707094        -3.990487935417253        0.015084547950359566       -1.0242050348460405       
Redshift      All|All|All                                All                  All      7.377444671380365          -1.3549944746074516       4.692203847345411          -2.635051211368565        
