#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5336.754516672573     All      0.42554171835185184        0.3119522529448915        -0.4686656931166544        -0.05791422324558371       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3549.546101361032     All      -0.16815839674322616       0.08372646765577585       0.11141024157685919        0.08701891449349568        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6386.683766403533     All      0.35988074114725754        -0.020098608237972826     0.09089186990538511        -0.11971568834143083       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5261.07367533024      All      0.11067537998576793        0.09699744457236648       -0.58832101145192          -0.030709418235281595      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7699.841915896162     All      0.14810385234669646        -0.021091211908164098     0.22010833688701492        -0.04528997462584349       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6377.92876207632      All      0.5783631256799213         0.004176793707699744      -0.13459738623118334       -0.1930378416566429        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4265.811421461287     All      -0.49293734223378044       0.4182980276728365        0.5357626553721184         0.3207279653721815         
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7750.448034147825     All      0.30322033362512374        -0.04487720226684644      0.5177015856418388         -0.09028417545897012       
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4271.3888488584535    All      -0.2682348328952215        0.16537836642038783       -0.27378605452965665       0.1290242703078327         
Check         All|All|All                                     All                   All      0.9964545792643906         0.9944623305609746        0.010504544053802078       -0.00018017139024273376    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5336.754516672573     All      6.909940827361996e-05      5.71224172748302e-06      -0.00020034620643236603    -2.9587816556146934e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3549.546101361032     All      -0.0002057084387315799     0.00010813771122242588    0.00027795594648548805     0.00011463391355782336     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6386.683766403533     All      -5.6392824640849026e-05    -4.022845321762991e-07    -3.1578976332129196e-06    1.8097038479779336e-05     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5261.07367533024      All      3.462584310095189e-05      -6.372998757790794e-06    -0.0007577652235795864     -4.7170253253793496e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7699.841915896162     All      -3.0806342133747456e-05    4.309725838836597e-06     -4.266415442893111e-05     9.534553360202114e-06      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6377.92876207632      All      -0.00013851035086224646    -1.613198357958881e-06    4.0600463122308255e-05     4.640371855115434e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4265.811421461287     All      -0.0002444329267932339     4.149413100232991e-05     -0.0011471626497949448     4.194324911194017e-05      
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7750.448034147825     All      -3.135871235278155e-05     4.454335194745252e-06     -4.8762655820203155e-05    9.48943443001921e-06       
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4271.3888488584535    All      -0.00020712998323865734    5.278434332430939e-05     -0.0008451852661828916     4.6945910454693996e-05     
MWEBV         All|All|All                                     All                   All      -0.9189912336941299        -3.9166740156973745       0.23799913296616015        -0.9658230947188536        
Redshift      All|All|All                                     All                   All      4.542585948976949          -0.6415106296428164       3.8939484562224624         -1.5148617720251756        
