#Format:      
#Parameter    MagSys|Instrument|Band                          RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_V          5336.754516672573     All      0.3297971314429717         0.2902137117847481        -0.45629493083225553       -0.033255969114737015     
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3549.546101361032     All      -0.16602559047135482       0.09447807457743096       0.1591708995103517         0.0919576802220534        
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6386.683766403533     All      0.44691727830473477        -0.02675182101503637      -0.09941876718361899       -0.15872621186447133      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5261.07367533024      All      0.03442537873133355        0.13154468012270826       -1.1518779710656746        -0.01976807187121261      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7699.841915896162     All      0.1757265205607866         -0.021426492916454265     0.33839203451377076        -0.049118340309073055     
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_R          6377.92876207632      All      0.5641948999895142         -0.002620231193706246     -0.04088861416793976       -0.1864550069460027       
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_B          4265.811421461287     All      -0.41269441890195907       0.3902055659635195        0.7952578479234875         0.2970196449612366        
Zeropoint     Linear_AB11_off|Krisciunas|Bessell12_I          7750.448034147825     All      0.3145881210348031         -0.03636498020638257      0.7514746163721652         -0.08078211035771957      
Zeropoint     Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4271.3888488584535    All      -0.29235333273261593       0.17725232471743624       -0.29882767449760395       0.13963070555175258       
Check         All|All|All                                     All                   All      0.9945759879582142         0.9965308318342636        -0.003012559427317485      0.0005023202718263398     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_V          5336.754516672573     All      6.855511900034987e-05      3.515396289897481e-07     -0.0002621844052997949     -3.391623547147623e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_U    3549.546101361032     All      -0.00024241382188774644    0.00012584631667941654    0.00015740900075978905     0.0001269788832805388     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_R    6386.683766403533     All      -9.629576735724814e-05     1.9838406597510973e-06    -6.505549066077418e-05     2.9109773875072692e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_V    5261.07367533024      All      -1.536495818445772e-05     7.410232785714776e-06     -0.0009643706561087067     -3.561680420740076e-05    
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_I    7699.841915896162     All      -2.9077455738669126e-05    3.532372179380252e-06     -4.8325754537289754e-05    8.465537311544197e-06     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_R          6377.92876207632      All      -0.00015296835024512795    -5.014643398119918e-07    3.311051233714416e-05      5.114105084544127e-05     
Lambda        Linear_AB11_off|Krisciunas|Bessell12_B          4265.811421461287     All      -0.00021364309659020595    2.012711103091112e-05     -0.001032445565454117      3.0073343698339756e-05    
Lambda        Linear_AB11_off|Krisciunas|Bessell12_I          7750.448034147825     All      -2.134071709474511e-05     1.9389161682855695e-06    -4.48615909509686e-05      5.580975668647551e-06     
Lambda        Linear_AB11_off|CfA2_FLWO|CfA2_4Sh3_Harris_B    4271.3888488584535    All      -0.00020219359205935318    5.369646666852154e-05     -0.0007513914850229819     4.9820659700236544e-05    
MWEBV         All|All|All                                     All                   All      -0.893284171562184         -3.913773209865301        0.3619254473582767         -0.9677215804609229       
Redshift      All|All|All                                     All                   All      4.5634804647046385         -0.4828694436463721       2.4795408807216237         -1.5331116637433708       
