#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                  dmB/dP                   ds/dP                    dc/dP                    
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5404.5764404575375    All      1.1252219495607962      0.9226372248772985       0.006779777262666542     -0.06568595934804966     
Check         All|All|All                           All                   All      1.1252219495607962      0.9226372248772985       0.006779777262666542     -0.06568595934804966     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5404.5764404575375    All      0.023372218863717462    -0.010393733298569496    0.00021796453148485      -0.010988954730121672    
MWEBV         All|All|All                           All                   All      0.09993913817084898     -4.6678122034246705      0.0017171337546528775    -1.5529368385247988      
Redshift      All|All|All                           All                   All      -126.13109755635625     53.035419542331304       -19.698583658085056      57.4813717060358         
