#Format:      
#Parameter    MagSys|Instrument|Band                RestLamb              Phase    dmu/dP                  dmB/dP                  ds/dP                    dc/dP                   
Zeropoint     Linear_AB11_off|CNIa02|Bessell12_V    5404.5764404575375    All      0.8292086357182642      1.075630826698415       0.0026093597498761875    0.08038425839279602     
Check         All|All|All                           All                   All      0.8292086357182642      1.075630826698415       0.0026093597498761875    0.08038425839279602     
Lambda        Linear_AB11_off|CNIa02|Bessell12_V    5404.5764404575375    All      0.020341575459331192    -0.00889465743247116    9.651905546079464e-05    -0.00951889569420333    
MWEBV         All|All|All                           All                   All      -0.8597648908313986     -4.062446496110983      -0.030397890312061495    -1.044575282166885      
Redshift      All|All|All                           All                   All      -94.07622749534082      39.76063685991073       -7.849388518327762       43.24478766392203       
