#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                   ds/dP                     dc/dP                      
Zeropoint     AB|DECam|DECam_r          3731.0608721467092    All      -1.5338916830953029       0.411067661308806        0.5229734299445982        0.6568751479825795         
Zeropoint     AB|DECam|DECam_i          4532.7729412047265    All      0.4549903324139484        0.2580026225547982       -1.0525461877125684       -0.11113567999210816       
Zeropoint     AB|DECam|DECam_z          5311.743232157205     All      2.0751909928847625        0.33069131903129545      0.5346141955031303        -0.5443835599575043        
Check         All|All|All               All                   All      0.9962896422034079        0.9997616028948997       0.005041437735160081      0.0013559080329670348      
Lambda        AB|DECam|DECam_r          3731.0608721467092    All      -0.0024015696472340763    0.0004617378256585186    -0.000568980039550601     0.0009072824780046132      
Lambda        AB|DECam|DECam_i          4532.7729412047265    All      -0.0001244046306409045    -0.000143084852155131    -0.0011743904719027432    -5.8492415688893255e-05    
Lambda        AB|DECam|DECam_z          5311.743232157205     All      0.00036662165610435306    7.049050041763016e-05    0.0001615768634938492     -8.924922651077055e-05     
MWEBV         All|All|All               All                   All      -0.09678320175922184      -1.8857144906538892      0.05516061729176833       -0.5802522098780766        
Redshift      All|All|All               All                   All      4.363890820444844         -0.30676415628150266     -4.17201821514612         -1.707563997459728         
